Selection,View,Channel,begin_time,end_time,Low Freq (Hz),High Freq (Hz),Center Time (s),Delta Freq (Hz),Delta Time (s),Peak Freq (Hz),Peak Power (dB),Begin Clock Time,Begin Date,Begin Date Time,Begin Hour,End Clock Time,ManateeVocal,SNR,Type of call,NLP,>20kHz,Subharmonic,Sideband,Deterministic Chaos,Biphonal,Frequency Jump,Comments,Tonal,Type,No. harm,Notes,filename,StartMicInWater,EndMicInWater,filepath,>22kHz,MANATEE,label,call_length
23,Spectrogram 1,1,2002.772,2016.72,5266.7,21457.0,2016.8429999999998,16190.3,0.214,16875.0,29.6,2016.72,,2016.72,0.0,2016.934,1.0,L,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,13.948000000000093
24,Spectrogram 1,1,2016.934,2030.216,4096.3,19116.3,2030.3410000000001,15020.0,0.273,4640.6,33.7,2030.2160000000001,,2030.2160000000001,0.0,2030.489,1.0,L,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,13.281999999999925
25,Spectrogram 1,1,2030.489,2042.126,1365.4,15605.1,2042.2420000000002,14239.7,0.20600000000000002,5765.6,44.8,2042.126,,2042.126,0.0,2042.332,1.0,H,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,11.636999999999944
26,Spectrogram 1,1,2042.332,2058.246206771,7217.4,11954.7,2058.288,4737.3,0.127,9281.2,34.3,2058.246,,2058.246,0.0,2058.373,1.0,L,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,15.914206770999726
27,Spectrogram 1,1,2058.373,2064.807,2340.8,18921.2,2065.07,16580.4,0.369,2343.8,54.9,2064.8070000000002,,2064.8070000000002,0.0,2065.176,1.0,L,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,6.433999999999742
28,Spectrogram 1,1,2065.176,2081.34,2340.8,20871.8,2081.397,18531.0,0.175,2906.2,36.8,2081.34,,2081.34,0.0,2081.515,1.0,L,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,16.164000000000215
29,Spectrogram 1,1,2081.515,2093.479,1950.6,17897.5,2093.577,15946.9,0.266,12375.0,40.4,2093.479,,2093.479,0.0,2093.745,1.0,M,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,11.963999999999942
30,Spectrogram 1,1,2093.745,2109.355,1560.5,24773.1,2109.437,23212.6,0.23600000000000002,9984.4,42.4,2109.355,,2109.355,0.0,2109.591,1.0,H,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,15.610000000000127
31,Spectrogram 1,1,2109.591,2119.217,1365.4,24187.9,2119.369,22822.5,0.233,2718.8,45.5,2119.217,,2119.217,0.0,2119.45,1.0,H,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,9.626000000000204
32,Spectrogram 1,1,2119.45,2131.148,3316.1,21066.9,2131.297,17750.8,0.341,18234.4,41.8,2131.1479999999997,,2131.1479999999997,0.0,2131.489,1.0,L,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,11.69800000000032
33,Spectrogram 1,1,2131.489,2146.781,975.3,15215.0,2146.9179999999997,14239.7,0.235,3703.1,41.0,2146.781,,2146.781,0.0,2147.016,1.0,L,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,15.291999999999916
34,Spectrogram 1,1,2147.016,2152.821,1365.4,18140.9,2152.929,16775.5,0.287,11437.5,47.4,2152.821,,2152.821,0.0,2153.1079999999997,1.0,L,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,5.804999999999836
35,Spectrogram 1,1,2153.108,2162.262,1560.5,21847.2,2162.43,20286.7,0.292,10125.0,45.2,2162.262,,2162.262,0.0,2162.554,1.0,H,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,9.153999999999996
36,Spectrogram 1,1,2162.554,2170.044,3511.2,23797.8,2170.147,20286.6,0.225,10125.0,42.8,2170.044,,2170.044,0.0,2170.269,1.0,H,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,7.489999999999782
37,Spectrogram 1,1,2170.269,2209.01,1755.6,27113.9,2209.208,25358.3,0.325,2156.2,45.9,2209.01,,2209.01,0.0,2209.335,1.0,H,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,38.74100000000044
38,Spectrogram 1,1,2209.335,2224.735,10143.3,17165.6,2224.876,7022.3,0.159,10781.2,39.8,2224.735,,2224.735,0.0,2224.894,1.0,L,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,15.400000000000091
39,Spectrogram 1,1,2224.894,2328.186,7349.0,25657.3,2328.2470000000003,18308.3,0.154,13312.5,36.1,2328.186,,2328.186,0.0,2328.34,1.0,L,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,103.29200000000037
40,Spectrogram 1,1,2328.34,2345.428,1950.6,16970.6,2345.437,15020.0,0.193,2484.4,40.0,2345.428,,2345.428,0.0,2345.621,1.0,L,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,17.087999999999738
41,Spectrogram 1,1,2345.621,2351.164,7607.5,15800.2,2351.3520000000003,8192.7,0.278,10687.5,39.8,2351.1639999999998,,2351.1639999999998,0.0,2351.442,1.0,L,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,5.54300000000012
42,Spectrogram 1,1,2351.442,2373.542,5071.7,15410.1,2373.629,10338.4,0.175,8906.2,36.8,2373.542,,2373.542,0.0,2373.717,1.0,L,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,22.09999999999991
43,Spectrogram 1,1,2373.717,2374.236,3511.2,15410.1,2374.323,11898.9,0.27,9140.6,38.1,2374.236,,2374.236,0.0,2374.506,1.0,L,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,0.5189999999997781
44,Spectrogram 1,1,2374.506,2395.637,1365.4,20871.8,2395.722,19506.4,0.18,7593.8,43.1,2395.637,,2395.637,0.0,2395.817,1.0,H,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,21.131000000000313
45,Spectrogram 1,1,2395.817,2398.716109027,2145.7,11954.7,2398.739,9809.0,0.10800000000000001,6609.4,26.7,2398.716,,2398.716,0.0,2398.824,1.0,L,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,2.8991090270001223
46,Spectrogram 1,1,2398.824,2399.501,1560.5,11118.6,2399.54,9558.1,0.145,1687.5,44.5,2399.501,,2399.501,0.0,2399.646,1.0,L,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,0.6770000000001346
47,Spectrogram 1,1,2399.646,2403.917,2340.8,21066.9,2404.005,18726.1,0.16699999999999998,10031.2,43.2,2403.917,,2403.917,0.0,2404.084,1.0,H,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,4.270999999999731
48,Spectrogram 1,1,2404.084,2472.368,4876.6,21847.2,2472.563,16970.6,0.281,8718.8,34.8,2472.368,,2472.368,0.0,2472.649,1.0,L,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,68.2840000000001
49,Spectrogram 1,1,2472.649,2480.689,4291.4,20676.8,2480.812,16385.4,0.28300000000000003,17109.4,39.9,2480.689,,2480.689,0.0,2480.972,1.0,H,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,8.039999999999964
50,Spectrogram 1,1,2480.972,2540.890951128,6520.8,14852.8,2540.922,8332.1,0.08800000000000001,9750.0,32.0,2540.891,,2540.891,0.0,2540.979,1.0,L,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,59.91895112799966
51,Spectrogram 1,1,2540.979062023,2541.201101477,10143.4,24271.7,2541.2270000000003,14128.3,0.07400000000000001,11765.6,40.9,2541.201,,2541.201,0.0,2541.275,1.0,L,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,0.22203945399996883
52,Spectrogram 1,1,2541.2751146289997,2549.776,2730.9,21652.1,2549.863,18921.2,0.129,20953.1,47.8,2549.776,,2549.776,0.0,2549.905,1.0,H,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,8.500885371000095
53,Spectrogram 1,1,2549.905,2556.998,6985.2,17165.6,2557.138,10180.4,0.249,14765.6,27.9,2556.998,,2556.998,0.0,2557.2470000000003,1.0,L,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,7.092999999999847
54,Spectrogram 1,1,2557.247,2566.5,5384.6,11452.1,2566.542,6067.5,0.048,11250.0,32.2,2566.5,,2566.5,0.0,2566.548,,,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,9.253000000000156
56,Spectrogram 1,1,2566.911,2695.694,10728.5,16580.4,2695.882,5851.9,0.327,16125.0,48.0,2695.6940000000004,,2695.6940000000004,0.0,2696.0209999999997,1.0,L,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,128.7829999999999
57,Spectrogram 1,1,2696.021,2697.378,3121.0,10728.5,2697.482,7607.5,0.182,7265.6,30.1,2697.3779999999997,,2697.3779999999997,0.0,2697.56,1.0,L,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,1.356999999999971
58,Spectrogram 1,1,2697.56,2704.126,9168.0,19701.5,2704.136,10533.5,0.193,18375.0,36.4,2704.1259999999997,,2704.1259999999997,0.0,2704.3190000000004,1.0,L,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,6.566000000000258
59,Spectrogram 1,1,2704.319,2708.924,4486.5,16970.6,2709.075,12484.1,0.369,10359.4,41.1,2708.9240000000004,,2708.9240000000004,0.0,2709.2929999999997,1.0,L,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,4.605000000000018
60,Spectrogram 1,1,2709.293,2718.338,8192.7,15995.2,2718.4390000000003,7802.5,0.22399999999999998,13921.9,35.7,2718.3379999999997,,2718.3379999999997,0.0,2718.562,1.0,L,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,9.045000000000073
61,Spectrogram 1,1,2718.562,2718.72,4876.6,11118.6,2718.7659999999996,6242.0,0.115,9140.6,38.7,2718.72,,2718.72,0.0,2718.835,1.0,L,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,0.15799999999990177
62,Spectrogram 1,1,2718.835,2727.08,9753.2,16442.5,2727.22,6689.3,0.151,14578.1,33.2,2727.08,,2727.08,0.0,2727.2309999999998,1.0,L,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,8.24499999999989
63,Spectrogram 1,1,2727.231,2751.499,10143.3,22504.9,2751.5570000000002,12361.6,0.12,14484.4,25.4,2751.4990000000003,,2751.4990000000003,0.0,2751.619,1.0,L,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,24.267999999999574
64,Spectrogram 1,1,2751.619,2770.4326578990003,7607.5,22460.4,2770.466,14852.8,0.11599999999999999,16593.8,32.9,2770.433,,2770.433,0.0,2770.5490000000004,0.0,L,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,18.81365789900019
65,Spectrogram 1,1,2770.54896428,2785.022,10482.8,16689.7,2785.111,6206.9,0.198,14531.2,31.7,2785.022,,2785.022,0.0,2785.22,1.0,L,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,14.473035720000098
66,Spectrogram 1,1,2785.22,2817.1822424909997,4137.9,19200.0,2817.255,15062.1,0.161,5015.6,33.2,2817.1820000000002,,2817.1820000000002,0.0,2817.343,0.0,L,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,31.96224249099987
67,Spectrogram 1,1,2817.343,2980.906,2758.6,24827.6,2980.969,22069.0,0.146,10078.1,38.7,2980.906,,2980.906,0.0,2981.052,1.0,L,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,163.5630000000001
68,Spectrogram 1,1,2981.052,3164.149,0.0,4000.0,3165.817,4000.0,3.405,0.0,87.9,3164.1490000000003,,3164.1490000000003,0.0,3167.554,0.0,,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,183.09699999999975
69,Spectrogram 1,1,3167.554,3553.505,5793.1,16689.7,3553.5229999999997,10896.6,0.10300000000000001,8156.2,37.4,3553.505,,3553.505,0.0,3553.6079999999997,1.0,L,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,385.951
70,Spectrogram 1,1,3553.608,3567.393,2896.6,16827.6,3567.442,13931.0,0.128,11906.2,43.4,3567.393,,3567.393,0.0,3567.5209999999997,1.0,M,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,13.784999999999854
71,Spectrogram 1,1,3567.521,3631.844973697,8551.7,29705.7,3631.921,21154.0,0.244,16921.9,37.0,3631.845,,3631.845,1.0,3632.0890000000004,1.0,L,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,64.32397369699993
72,Spectrogram 1,1,3632.089,3682.1290225690004,8332.1,31154.7,3682.327,22822.6,0.254,17718.8,44.0,3682.1290000000004,,3682.1290000000004,1.0,3682.383,0.0,L,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,50.040022569000485
73,Spectrogram 1,1,3682.382781945,3689.223,8000.0,28965.5,3689.3340000000003,20965.5,0.22,14578.1,32.5,3689.223,,3689.223,1.0,3689.4429999999998,1.0,L,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,6.84021805500015
74,Spectrogram 1,1,3689.443,3890.9,3862.1,24444.8,3890.9559999999997,20582.7,0.133,4687.5,39.4,3890.9,,3890.9,1.0,3891.033,1.0,H,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,201.45699999999988
75,Spectrogram 1,1,3891.033,3899.296,2758.6,21793.1,3899.35,19034.5,0.146,9703.1,41.8,3899.296,,3899.296,1.0,3899.442,1.0,H,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,8.26299999999992
76,Spectrogram 1,1,3899.442,3923.782,4689.7,11230.2,3923.961,6540.5,0.317,8015.6,33.2,3923.782,,3923.782,1.0,3924.099,1.0,L,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,24.340000000000146
77,Spectrogram 1,1,3924.099,3933.677,7172.4,23448.3,3933.788,16275.9,0.24,10968.8,37.8,3933.677,,3933.677,1.0,3933.917,1.0,L,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,9.577999999999975
78,Spectrogram 1,1,3933.917,3943.8521936190004,3310.3,28413.8,3944.012,25103.5,0.23600000000000002,16453.1,40.5,3943.8520000000003,,3943.8520000000003,1.0,3944.0879999999997,1.0,H,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,9.935193619000529
79,Spectrogram 1,1,3944.088330817,3959.815,3586.2,28137.9,3959.985,24551.7,0.28800000000000003,12281.2,47.5,3959.815,,3959.815,1.0,3960.103,1.0,H,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,15.726669183000013
80,Spectrogram 1,1,3960.103,3970.881,3034.5,25379.3,3970.9570000000003,22344.8,0.17600000000000002,7312.5,38.4,3970.881,,3970.881,1.0,3971.0570000000002,1.0,M,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,10.777999999999793
81,Spectrogram 1,1,3971.057,3978.317,2758.6,26482.8,3978.4179999999997,23724.2,0.146,12281.2,47.9,3978.317,,3978.317,1.0,3978.4629999999997,1.0,H,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,7.260000000000218
82,Spectrogram 1,1,3978.463,3981.023218055,724.5,31517.0,3981.091,30792.5,0.261,5671.9,39.3,3981.0229999999997,,3981.0229999999997,1.0,3981.284,0.0,L,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,2.5602180549999503
83,Spectrogram 1,1,3981.284026303,3993.738,5530.3,20689.7,3994.0490000000004,15159.4,0.335,9796.9,49.6,3993.738,,3993.738,1.0,3994.073,1.0,L,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,12.453973697000038
84,Spectrogram 1,1,3994.073,3998.065,12137.9,17931.0,3998.111,5793.1,0.086,14250.0,28.2,3998.065,,3998.065,1.0,3998.151,1.0,L,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,3.992000000000189
85,Spectrogram 1,1,3998.151,3998.947,3105.3,18261.2,3999.065,15155.9,0.154,16406.2,50.3,3998.947,,3998.947,1.0,3999.1009999999997,1.0,M,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,0.7960000000002765
86,Spectrogram 1,1,3999.101,4003.509,2590.4,21241.4,4003.599,18651.0,0.18,3234.4,54.3,4003.509,,4003.509,1.0,4003.6890000000003,1.0,M,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,4.407999999999902
87,Spectrogram 1,1,4003.689,4007.69,5241.4,19034.5,4007.812,13793.1,0.22699999999999998,7968.8,35.3,4007.69,,4007.69,1.0,4007.917,1.0,L,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,4.001000000000204
88,Spectrogram 1,1,4007.917,4011.092,3310.3,14896.6,4011.1820000000002,11586.3,0.15,3468.8,37.5,4011.092,,4011.092,1.0,4011.242,0.0,,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,3.175000000000182
89,Spectrogram 1,1,4011.242,4014.09,3586.2,27839.7,4014.152,24253.5,0.172,12140.6,49.2,4014.09,,4014.09,1.0,4014.262,1.0,H,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,2.8479999999999563
90,Spectrogram 1,1,4014.262,4135.895,9418.9,22460.4,4136.063,13041.5,0.20800000000000002,12000.0,42.5,4135.895,,4135.895,1.0,4136.103,0.0,L,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,121.63300000000027
91,Spectrogram 1,1,4136.103355252,4213.956633463,14206.9,18475.5,4214.003,4268.6,0.10400000000000001,15656.2,32.5,4213.957,,4213.957,1.0,4214.061,0.0,L,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,77.85327821099963
