Selection,View,Channel,begin_time,end_time,Low Freq (Hz),Delta Time (s),Delta Freq (Hz),High Freq (Hz),Inband Power (dB FS),Begin Date Time,SNR,NUM HARM,recording_filename,filename,StartMicInWater,EndMicInWater,filepath,label,call_length,split_type
392,Spectrogram 1,1,5727.858363333333,5986.533613333333,10182.338,0.1155,2068.287,12250.625,-89.3,2012/12/11  2:02:29.1858,4.6,1,67670025.2012122,67670025.201212191505,26.77731333333213,10766.23735333333,augmented_annotations2,0,258.67525000000023,test
311,Spectrogram 1,1,1100.3379633333316,1124.322683333332,7117.352,0.1118,14900.0,22017.352,-98.57,2012/12/11  0:41:26.9748,3.7,4,67670025.2012122,67670025.201212191505,26.77731333333213,10766.23735333333,augmented_annotations2,0,23.98472000000038,test
488,Spectrogram 1,1,10026.657323333333,10028.826133333336,12091.526,0.2161,1272.792,13364.318,-99.01,2012/12/11  3:09:51.4783,6.8,2,67670025.2012122,67670025.201212191505,26.77731333333213,10766.23735333333,augmented_annotations2,0,2.16881000000285,test
532,Spectrogram 1,1,794.1284799999994,829.6664000000019,16148.551,0.313,1193.243,17341.794,-99.26,2012/12/11  3:36:30.6909,2.0,2,67670025.20121223,67670025.201212221503,12.793649999999616,30584.991493386,augmented_annotations2,0,35.53792000000249,test
663,Spectrogram 1,1,9759.779374669,9765.097919114,5709.251,0.3546,28757.709,34466.96,-98.32,2012/12/11  6:05:26.1224,1.5,8,67670025.20121223,67670025.201212221503,12.793649999999616,30584.991493386,augmented_annotations2,0,5.318544444999134,test
619,Spectrogram 1,1,7074.002288381998,7195.451410517002,4017.621,0.2544,10361.233,14378.855,-96.34,2012/12/11  5:22:36.4759,1.6,2,67670025.20121223,67670025.201212221503,12.793649999999616,30584.991493386,augmented_annotations2,0,121.44912213500356,test
351,Spectrogram 1,1,3743.6101833333305,3891.217413333332,12017.352,0.123,1800.0,13817.352,-99.56,2012/12/11  1:27:33.8696,3.3,1,67670025.2012122,67670025.201212191505,26.77731333333213,10766.23735333333,augmented_annotations2,0,147.60723000000144,test
321,Spectrogram 1,1,2134.580923333335,2149.88296333333,11617.352,0.1826,2000.0,13617.352,-100.77,2012/12/11  0:58:32.5351,1.3,2,67670025.2012122,67670025.201212191505,26.77731333333213,10766.23735333333,augmented_annotations2,0,15.302039999995031,test
385,Spectrogram 1,1,5340.6167133333365,5429.26400333333,7079.907,0.123,3420.629,10500.536,-98.48,2012/12/11  1:53:11.9162,1.9,1,67670025.2012122,67670025.201212191505,26.77731333333213,10766.23735333333,augmented_annotations2,0,88.64728999999352,test
240,Spectrogram 1,1,10362.700696666669,10364.675736666668,12536.086,0.0559,989.95,13526.036,-95.22,2012/12/11  0:15:29.2376,2.6,1,67670025.20121215,67670025.201212161507,425.6730666666663,10760.440966666663,augmented_annotations2,0,1.975039999999353,test
223,Spectrogram 1,1,10069.058816666668,10119.288463112664,5848.739,0.1308,15126.051,20974.79,-105.0,2012/12/11  0:11:23.8503,5.5,1,67670025.20121215,67670025.201212161507,425.6730666666663,10760.440966666663,augmented_annotations2,0,50.22964644599597,test
460,Spectrogram 1,1,8358.943883333333,8365.477523333335,12011.976,0.1043,1272.793,13284.769,-101.83,2012/12/11  2:42:08.1297,0.0,2,67670025.2012122,67670025.201212191505,26.77731333333213,10766.23735333333,augmented_annotations2,0,6.533640000001469,test
486,Spectrogram 1,1,10007.036303333334,10010.039843333332,9227.743,0.1789,8750.447,17978.19,-101.0,2012/12/11  3:09:32.6920,3.0,3,67670025.2012122,67670025.201212191505,26.77731333333213,10766.23735333333,augmented_annotations2,0,3.003539999997884,test
229,Spectrogram 1,1,10280.587046666667,10286.822735524667,2621.849,0.6321,14722.689,17344.538,-102.83,2012/12/11  0:14:11.3846,3.8,1,67670025.20121215,67670025.201212161507,425.6730666666663,10760.440966666663,augmented_annotations2,0,6.235688857999776,test
405,Spectrogram 1,1,6549.843833333332,6569.584103333335,11773.328,0.1341,1909.188,13682.516,-104.02,2012/12/11  2:12:12.2363,1.7,1,67670025.2012122,67670025.201212191505,26.77731333333213,10766.23735333333,augmented_annotations2,0,19.740270000002965,test
180,Spectrogram 1,1,9147.884146666667,9161.477866666668,5919.283,0.1646,7748.878,13668.161,-97.43,2012/12/10  23:55:26.0397,0.1,3,67670025.20121215,67670025.201212161507,425.6730666666663,10760.440966666663,augmented_annotations2,0,13.593720000000758,test
649,Spectrogram 1,1,9639.224394327,9641.883594508,4651.982,0.3469,26431.718,31083.7,-95.45,2012/12/11  6:03:22.9081,3.4,8,67670025.20121223,67670025.201212221503,12.793649999999616,30584.991493386,augmented_annotations2,0,2.659200181000415,test
64,Spectrogram 1,1,9892.013964,9899.734506,8861.538,0.0853,1868.728,10730.266,-100.49,2012/12/10  18:07:59.7345,3.7,1,67670025.2012121,67670025.201212101523,412.928221503,10102.45615,augmented_annotations2,0,7.720542000000933,test
190,Spectrogram 1,1,9438.273576666666,9464.900796666669,6740.03,0.0881,4957.449,11697.479,-100.86,2012/12/11  0:00:29.4626,0.1,1,67670025.20121215,67670025.201212161507,425.6730666666663,10760.440966666663,augmented_annotations2,0,26.62722000000213,test
263,Spectrogram 1,1,36.84737333333396,39.306843333331926,12677.508,0.354,1555.634,14233.142,-98.37,2012/12/11  0:23:21.9590,4.1,1,67670025.2012122,67670025.201212191505,26.77731333333213,10766.23735333333,augmented_annotations2,0,2.459469999997964,test
224,Spectrogram 1,1,10119.419277058669,10130.567666666666,5040.754,0.1379,7283.2,12323.954,-103.76,2012/12/11  0:11:35.1295,1.1,1,67670025.20121215,67670025.201212161507,425.6730666666663,10760.440966666663,augmented_annotations2,0,11.14838960799716,test
129,Spectrogram 1,1,5127.030209999999,5132.01471,9284.344,0.0689,1293.72,10578.064,-98.49,2012/12/10  19:48:19.7482,1.2,1,67670025.20121212,67670025.201212131511,273.2892959849996,10293.68387,augmented_annotations2,0,4.98450000000139,test
332,Spectrogram 1,1,2971.641113333332,2977.394793333333,11817.352,0.3018,1400.0,13217.352,-98.67,2012/12/11  1:12:20.0470,2.3,1,67670025.2012122,67670025.201212191505,26.77731333333213,10766.23735333333,augmented_annotations2,0,5.753680000001168,test
556,Spectrogram 1,1,1753.9790399999983,1776.5700599999982,7239.006,0.123,954.594,8193.6,-99.25,2012/12/11  3:52:17.5946,6.8,2,67670025.20121223,67670025.201212221503,12.793649999999616,30584.991493386,augmented_annotations2,0,22.591019999999844,test
561,Spectrogram 1,1,1882.5242300000027,1939.041403378004,7795.852,0.1817,6870.815,14666.667,-95.27,2012/12/11  3:55:00.0659,5.1,1,67670025.20121223,67670025.201212221503,12.793649999999616,30584.991493386,augmented_annotations2,0,56.51717337800096,test
106,Spectrogram 1,1,4507.710959713999,4521.396544883999,9512.647,0.1154,1895.425,11408.072,-104.08,2012/12/10  19:38:09.1300,0.9,1,67670025.20121212,67670025.201212131511,273.2892959849996,10293.68387,augmented_annotations2,0,13.685585170000197,test
141,Spectrogram 1,1,426.013866666668,439.3077566666652,10730.266,0.2412,2054.732,12784.998,-99.84,2012/12/10  21:30:03.8696,1.0,1,67670025.20121215,67670025.201212161507,425.6730666666663,10760.440966666663,augmented_annotations2,0,13.293889999997248,test
672,Spectrogram 1,1,9792.037805751002,9799.420571661998,5920.705,0.3006,13744.493,19665.198,-103.85,2012/12/11  6:06:00.4451,1.2,2,67670025.20121223,67670025.201212221503,12.793649999999616,30584.991493386,augmented_annotations2,0,7.382765910995658,test
581,Spectrogram 1,1,2775.305809999998,2800.2594099999988,12568.823,0.1938,1511.441,14080.264,-103.41,2012/12/11  4:09:21.2839,0.9,1,67670025.20121223,67670025.201212221503,12.793649999999616,30584.991493386,augmented_annotations2,0,24.953600000000733,test
436,Spectrogram 1,1,7606.914149833334,7607.409333333337,8909.545,0.0857,1272.793,10182.338,-103.03,2012/12/11  2:29:30.0615,3.3,1,67670025.2012122,67670025.201212191505,26.77731333333213,10766.23735333333,augmented_annotations2,0,0.495183500002895,test
477,Spectrogram 1,1,9466.779183333332,9476.792213333334,9466.392,0.3168,795.495,10261.887,-100.1,2012/12/11  3:00:39.4444,0.3,2,67670025.2012122,67670025.201212191505,26.77731333333213,10766.23735333333,augmented_annotations2,0,10.01303000000189,test
221,Spectrogram 1,1,10047.898766666664,10063.636796666666,8929.842,0.2161,3464.823,12394.665,-98.26,2012/12/11  0:10:28.1986,0.5,1,67670025.20121215,67670025.201212161507,425.6730666666663,10760.440966666663,augmented_annotations2,0,15.738030000002254,test
93,Spectrogram 1,1,439.7946200000006,447.3351455659995,8950.0,0.0886,6978.251,15928.251,-97.15,2012/12/10  18:30:15.0686,1.2,2,67670025.20121212,67670025.201212131511,273.2892959849996,10293.68387,augmented_annotations2,0,7.540525565998905,test
54,Spectrogram 1,1,8195.661983,8201.055676257,4870.475,0.1226,6698.756,11569.231,-99.08,2012/12/10  17:39:41.0557,5.3,2,67670025.2012121,67670025.201212101523,412.928221503,10102.45615,augmented_annotations2,0,5.393693256999541,test
288,Spectrogram 1,1,838.5748478603346,870.6904833333319,8788.42,0.0671,1343.503,10131.923,-100.33,2012/12/11  0:37:13.3426,1.6,1,67670025.2012122,67670025.201212191505,26.77731333333213,10766.23735333333,augmented_annotations2,0,32.11563547299738,test
66,Spectrogram 1,1,9904.492565048,9912.552703927,8615.385,0.0491,2215.384,10830.769,-101.23,2012/12/10  18:08:12.5527,0.7,1,67670025.2012121,67670025.201212101523,412.928221503,10102.45615,augmented_annotations2,0,8.060138879000078,test
447,Spectrogram 1,1,7716.091273333332,7725.336663333335,8432.248,0.1528,1988.738,10420.986,-99.84,2012/12/11  2:31:27.9888,1.9,1,67670025.2012122,67670025.201212191505,26.77731333333213,10766.23735333333,augmented_annotations2,0,9.24539000000368,test
108,Spectrogram 1,1,4554.964423911,4564.825680881,6071.146,0.0578,8780.872,14852.018,-98.22,2012/12/10  19:38:52.5592,0.0,1,67670025.20121212,67670025.201212131511,273.2892959849996,10293.68387,augmented_annotations2,0,9.861256969999886,test
432,Spectrogram 1,1,7474.640923333332,7514.94127333333,12330.174,0.1342,1431.892,13762.066,-99.86,2012/12/11  2:27:57.5934,2.9,1,67670025.2012122,67670025.201212191505,26.77731333333213,10766.23735333333,augmented_annotations2,0,40.300349999998616,test
155,Spectrogram 1,1,7151.274446666666,7506.463854378668,7488.0,0.1974,5217.882,12705.882,-101.23,2012/12/10  23:27:51.0257,0.7,1,67670025.20121215,67670025.201212161507,425.6730666666663,10760.440966666663,augmented_annotations2,0,355.1894077120014,test
353,Spectrogram 1,1,3896.27423333333,3903.743223333331,11917.352,0.1863,1500.0,13417.352,-97.77,2012/12/11  1:27:46.3954,0.9,2,67670025.2012122,67670025.201212191505,26.77731333333213,10766.23735333333,augmented_annotations2,0,7.468990000001213,test
105,Spectrogram 1,1,4521.511930000001,4530.502664497999,9512.647,0.0845,1249.685,10762.332,-103.23,2012/12/10  19:38:18.2362,1.1,1,67670025.20121212,67670025.201212131511,273.2892959849996,10293.68387,augmented_annotations2,0,8.990734497998346,test
550,Spectrogram 1,1,1535.8214200000002,1574.4858400000012,12568.823,0.1006,1352.342,13921.165,-98.28,2012/12/11  3:48:55.5103,3.0,1,67670025.20121223,67670025.201212221503,12.793649999999616,30584.991493386,augmented_annotations2,0,38.66442000000097,test
319,Spectrogram 1,1,1848.6837833333336,1893.612423333332,9117.352,0.2124,1600.0,10717.352,-101.4,2012/12/11  0:54:16.2646,1.5,3,67670025.2012122,67670025.201212191505,26.77731333333213,10766.23735333333,augmented_annotations2,0,44.92863999999827,test
236,Spectrogram 1,1,10313.355066666669,10318.241606666666,8859.131,0.1938,1484.924,10344.055,-102.27,2012/12/11  0:14:42.8034,2.7,1,67670025.20121215,67670025.201212161507,425.6730666666663,10760.440966666663,augmented_annotations2,0,4.886539999997694,test
201,Spectrogram 1,1,9828.111546666669,9859.274576666669,5747.861,0.1714,7495.332,13243.193,-107.39,2012/12/11  0:07:03.8364,1.5,2,67670025.20121215,67670025.201212161507,425.6730666666663,10760.440966666663,augmented_annotations2,0,31.163029999999708,test
175,Spectrogram 1,1,9082.003236666667,9090.810426666669,8179.372,0.111,2582.96,10762.332,-98.65,2012/12/10  23:54:15.3723,1.7,1,67670025.20121215,67670025.201212161507,425.6730666666663,10760.440966666663,augmented_annotations2,0,8.807190000001356,test
636,Spectrogram 1,1,8502.534223645998,8506.588637834,7823.789,0.2544,17550.661,25374.449,-101.41,2012/12/11  5:44:27.6131,3.6,5,67670025.20121223,67670025.201212221503,12.793649999999616,30584.991493386,augmented_annotations2,0,4.054414188001829,test
399,Spectrogram 1,1,6356.59509333333,6364.685263333333,11534.679,0.1379,1511.441,13046.12,-102.54,2012/12/11  2:08:47.3374,1.0,3,67670025.2012122,67670025.201212191505,26.77731333333213,10766.23735333333,augmented_annotations2,0,8.090170000003127,test
454,Spectrogram 1,1,8151.746943333332,8299.201393333336,11455.13,0.3354,2625.134,14080.264,-97.46,2012/12/11  2:41:01.8536,3.0,3,67670025.2012122,67670025.201212191505,26.77731333333213,10766.23735333333,augmented_annotations2,0,147.45445000000473,test
603,Spectrogram 1,1,4647.782260567998,4808.765469999999,11932.427,0.1043,1829.639,13762.066,-99.95,2012/12/11  4:42:49.7900,1.3,1,67670025.20121223,67670025.201212221503,12.793649999999616,30584.991493386,augmented_annotations2,0,160.9832094320018,test
111,Spectrogram 1,1,4615.49048,4623.14126,8903.838,0.0996,2073.74,10977.578,-101.72,2012/12/10  19:39:50.8748,1.1,1,67670025.20121212,67670025.201212131511,273.2892959849996,10293.68387,augmented_annotations2,0,7.650779999999941,test
154,Spectrogram 1,1,5138.670956666665,7151.109143952668,8903.838,0.1653,2390.28,11294.118,-102.48,2012/12/10  23:21:55.6710,5.3,1,67670025.20121215,67670025.201212161507,425.6730666666663,10760.440966666663,augmented_annotations2,0,2012.438187286003,test
640,Spectrogram 1,1,8524.903178713997,8531.678540383,6555.066,0.1542,17550.661,24105.727,-95.05,2012/12/11  5:44:52.7030,0.3,2,67670025.20121223,67670025.201212221503,12.793649999999616,30584.991493386,augmented_annotations2,0,6.77536166900245,test
464,Spectrogram 1,1,8467.398513333334,8486.479193333333,9705.041,0.1789,795.495,10500.536,-95.08,2012/12/11  2:44:09.1314,11.7,3,67670025.2012122,67670025.201212191505,26.77731333333213,10766.23735333333,augmented_annotations2,0,19.08067999999912,test
3,Spectrogram 1,1,415.688457289,418.9514536,9560.976,0.3701,14243.902,23804.878,-92.9,2012/12/10  15:29:58.9515,4.1,3,67670025.2012121,67670025.201212101523,412.928221503,10102.45615,augmented_annotations2,0,3.262996310999995,test
393,Spectrogram 1,1,5986.649133333332,6009.236423333336,12489.274,0.1938,1352.341,13841.615,-97.15,2012/12/11  2:02:51.8886,1.2,2,67670025.2012122,67670025.201212191505,26.77731333333213,10766.23735333333,augmented_annotations2,0,22.58729000000312,test
601,Spectrogram 1,1,4635.104200000002,4643.251400000001,10666.667,0.2058,3015.849,13682.516,-98.37,2012/12/11  4:40:04.2759,0.6,1,67670025.20121223,67670025.201212221503,12.793649999999616,30584.991493386,augmented_annotations2,0,8.14719999999943,test
119,Spectrogram 1,1,5089.984829999999,5091.604589999999,9436.546,0.1149,4769.732,14206.278,-95.75,2012/12/10  19:47:39.3381,1.8,2,67670025.20121212,67670025.201212131511,273.2892959849996,10293.68387,augmented_annotations2,0,1.6197599999995873,test
11,Spectrogram 1,1,1106.579496993,1130.768030892,767.1,0.2725,3417.515,4184.615,-95.92,2012/12/10  15:41:50.7680,1.1,1,67670025.2012121,67670025.201212101523,412.928221503,10102.45615,augmented_annotations2,0,24.18853389900005,test
369,Spectrogram 1,1,4637.152203333331,4644.294080198335,11917.352,0.1322,3634.648,15552.0,-102.26,2012/12/11  1:40:06.9462,3.0,1,67670025.2012122,67670025.201212191505,26.77731333333213,10766.23735333333,augmented_annotations2,0,7.141876865003724,test
580,Spectrogram 1,1,2629.5059200000032,2775.186560000002,10341.437,0.1192,6284.411,16625.848,-106.3,2012/12/11  4:08:56.2111,2.5,1,67670025.20121223,67670025.201212221503,12.793649999999616,30584.991493386,augmented_annotations2,0,145.68063999999868,test
558,Spectrogram 1,1,1830.797380000004,1833.6455300000016,12330.174,0.1267,1750.09,14080.264,-95.15,2012/12/11  3:53:14.6700,1.0,2,67670025.20121223,67670025.201212221503,12.793649999999616,30584.991493386,augmented_annotations2,0,2.8481499999975317,test
149,Spectrogram 1,1,5017.8403966666665,5024.368076666666,9360.445,0.0689,1065.416,10425.861,-103.29,2012/12/10  22:46:28.9299,3.9,1,67670025.20121215,67670025.201212161507,425.6730666666663,10760.440966666663,augmented_annotations2,0,6.527679999999236,test
500,Spectrogram 1,1,10660.480683333337,10766.052225549334,12568.823,0.1851,3943.177,16512.0,-100.34,2012/12/11  3:22:08.7044,1.0,1,67670025.2012122,67670025.201212191505,26.77731333333213,10766.23735333333,augmented_annotations2,0,105.5715422159974,test
523,Spectrogram 1,1,630.444110000004,650.4787700000015,12648.373,0.313,1511.44,14159.813,-101.23,2012/12/11  3:33:31.5033,0.0,2,67670025.20121223,67670025.201212221503,12.793649999999616,30584.991493386,augmented_annotations2,0,20.03465999999753,test
576,Spectrogram 1,1,2603.1015899999984,2608.8787500000035,9466.392,0.1006,1113.693,10580.085,-104.08,2012/12/11  4:06:09.9033,0.9,1,67670025.20121223,67670025.201212221503,12.793649999999616,30584.991493386,augmented_annotations2,0,5.777160000005097,test
461,Spectrogram 1,1,8368.954323333332,8409.366473333335,12091.526,0.1751,1909.188,14000.714,-103.23,2012/12/11  2:42:52.0186,1.1,2,67670025.2012122,67670025.201212191505,26.77731333333213,10766.23735333333,augmented_annotations2,0,40.41215000000375,test
147,Spectrogram 1,1,5011.250316666668,5017.775306666666,9132.141,0.0651,1445.923,10578.064,-95.57,2012/12/10  22:46:22.3371,1.0,1,67670025.20121215,67670025.201212161507,425.6730666666663,10760.440966666663,augmented_annotations2,0,6.52498999999807,test
397,Spectrogram 1,1,6148.648003333336,6172.201573333332,12171.075,0.0932,954.595,13125.67,-98.22,2012/12/11  2:05:34.8537,0.0,2,67670025.2012122,67670025.201212191505,26.77731333333213,10766.23735333333,augmented_annotations2,0,23.55356999999549,test
23,Spectrogram 1,1,2066.638917,3817.589531,6400.0,0.3197,4676.923,11076.923,-98.32,2012/12/10  16:26:37.5895,1.5,2,67670025.2012121,67670025.201212101523,412.928221503,10102.45615,augmented_annotations2,0,1750.950614,test
27,Spectrogram 1,1,3832.546593,3843.444674162,6617.0,0.1172,4952.231,11569.231,-98.48,2012/12/10  16:27:03.4447,1.9,2,67670025.2012121,67670025.201212101523,412.928221503,10102.45615,augmented_annotations2,0,10.898081161999926,test
659,Spectrogram 1,1,9746.313246819002,9748.425270002996,5074.89,0.3469,31083.7,36158.59,-103.39,2012/12/11  6:05:09.4498,0.9,8,67670025.20121223,67670025.201212221503,12.793649999999616,30584.991493386,augmented_annotations2,0,2.112023183994097,test
345,Spectrogram 1,1,3446.0543733333325,3448.498943333332,12717.352,0.1118,900.0,13617.352,-101.19,2012/12/11  1:20:11.1511,0.0,1,67670025.2012122,67670025.201212191505,26.77731333333213,10766.23735333333,augmented_annotations2,0,2.4445699999996577,test
107,Spectrogram 1,1,4530.587169999999,4554.902757624999,10547.085,0.0617,4520.18,15067.265,-95.57,2012/12/10  19:38:42.6363,1.0,1,67670025.20121212,67670025.201212131511,273.2892959849996,10293.68387,augmented_annotations2,0,24.315587625000266,test
635,Spectrogram 1,1,8500.167779939999,8502.341516503002,6977.974,0.1927,18396.476,25374.449,-100.7,2012/12/11  5:44:23.3660,0.0,4,67670025.20121223,67670025.201212221503,12.793649999999616,30584.991493386,augmented_annotations2,0,2.173736563003331,test
228,Spectrogram 1,1,10241.127756666669,10248.541112382669,4436.975,0.7092,16537.815,20974.79,-101.39,2012/12/11  0:13:33.1029,1.1,1,67670025.20121215,67670025.201212161507,425.6730666666663,10760.440966666663,augmented_annotations2,0,7.413355716000296,test
396,Spectrogram 1,1,6146.583533333331,6148.4505033333335,11852.877,0.1975,2147.837,14000.714,-97.52,2012/12/11  2:05:11.1027,0.0,2,67670025.2012122,67670025.201212191505,26.77731333333213,10766.23735333333,augmented_annotations2,0,1.866970000002766,test
284,Spectrogram 1,1,782.0208333333358,785.0005190363299,7303.496,0.1357,4408.504,11712.0,-92.8,2012/12/11  0:35:47.6527,,1,67670025.2012122,67670025.201212191505,26.77731333333213,10766.23735333333,augmented_annotations2,0,2.979685702994175,test
421,Spectrogram 1,1,7234.175493333336,7240.353983333334,9307.293,0.0708,1431.891,10739.184,-95.75,2012/12/11  2:23:23.0062,,1,67670025.2012122,67670025.201212191505,26.77731333333213,10766.23735333333,augmented_annotations2,0,6.178489999998419,test
122,Spectrogram 1,1,5091.71947,5096.106609999999,8751.635,0.1708,8037.603,16789.238,-97.96,2012/12/10  19:47:43.8401,,3,67670025.20121212,67670025.201212131511,273.2892959849996,10293.68387,augmented_annotations2,0,4.387139999998908,test
182,Spectrogram 1,1,9161.642516666669,9172.149312952668,9075.63,0.4856,7865.546,16941.176,-98.9,2012/12/10  23:55:36.7111,,2,67670025.20121215,67670025.201212161507,425.6730666666663,10760.440966666663,augmented_annotations2,0,10.506796285999371,test
283,Spectrogram 1,1,766.5399333333335,778.0186033333302,6596.389,0.082,3889.088,10485.477,-98.12,2012/12/11  0:35:40.6708,,2,67670025.2012122,67670025.201212191505,26.77731333333213,10766.23735333333,augmented_annotations2,0,11.478669999996782,test
660,Spectrogram 1,1,9748.772142859,9751.724341711,5286.344,0.3392,33832.599,39118.943,-100.05,2012/12/11  6:05:12.7488,,8,67670025.20121223,67670025.201212221503,12.793649999999616,30584.991493386,augmented_annotations2,0,2.9521988520009472,test
511,Spectrogram 1,1,320.79589000000124,352.1739400000006,7000.357,0.1789,1988.738,8989.095,-100.29,2012/12/11  3:28:33.1984,,1,67670025.20121223,67670025.201212221503,12.793649999999616,30584.991493386,augmented_annotations2,0,31.378049999999348,test
203,Spectrogram 1,1,9889.692316666667,9913.177686666666,6808.521,0.3577,3959.798,10768.319,-97.87,2012/12/11  0:07:57.7395,,1,67670025.20121215,67670025.201212161507,425.6730666666663,10760.440966666663,augmented_annotations2,0,23.48536999999851,test
143,Spectrogram 1,1,1939.059236666668,3329.9594966666664,9284.344,0.1187,4731.656,14016.0,-96.8,2012/12/10  22:18:14.5213,,2,67670025.20121215,67670025.201212161507,425.6730666666663,10760.440966666663,augmented_annotations2,0,1390.9002599999983,test
520,Spectrogram 1,1,570.7153899999976,572.8443400000033,16148.551,0.2459,1034.144,17182.695,-94.86,2012/12/11  3:32:13.8688,,1,67670025.20121223,67670025.201212221503,12.793649999999616,30584.991493386,augmented_annotations2,0,2.128950000005716,test
407,Spectrogram 1,1,6576.459443333333,6594.414723333335,11455.13,0.1267,1113.693,12568.823,-98.49,2012/12/11  2:12:37.0669,,1,67670025.2012122,67670025.201212191505,26.77731333333213,10766.23735333333,augmented_annotations2,0,17.95528000000195,test
668,Spectrogram 1,1,9779.057350347,9782.495155499004,5920.705,0.2775,26431.718,32352.423,-98.1,2012/12/11  6:05:43.5197,,6,67670025.20121223,67670025.201212221503,12.793649999999616,30584.991493386,augmented_annotations2,0,3.4378051520034205,test
