Selection,View,channel,begin_time,end_time,Low Freq (Hz),High Freq (Hz),Delta Time (s),Delta Freq (Hz),Avg Power Density (dB FS/Hz),Agg Entropy (bits),Center Freq (Hz),PFC Max Freq (Hz),PFC Min Freq (Hz),Max Freq (Hz),Annotation,filename,StartMicInWater,EndMicInWater,filepath,label,call_length
7,Spectrogram 1,1,196.1185217,275.0532824,4575.54,5956.835,0.1544,1381.295,-57.84,2.537,5250,5812.5,4687.5,4687.5,,211208_0069,33.5853921,275.2076941,annotations,0,78.93476068
2,Spectrogram 1,1,36.38278377,43.85474861,7230.769,7986.555,0.2617,755.786,-37.55,1.525,7687.5,7875,7312.5,7687.5,No,211208_0070,36.1571657,55.10617219,annotations,0,7.471964841
3,Spectrogram 1,1,44.11642653,54.0788042,5001.681,6292.437,0.1652,1290.756,-55.69,1.917,5625,5812.5,5437.5,5625,Yes,211208_0070,36.1571657,55.10617219,annotations,0,9.962377669
4,Spectrogram 1,1,54.24398886,54.86166712,7230.769,8000,0.2445,769.231,-46.81,1.569,7875,7875,7312.5,7875,No,211208_0070,36.1571657,55.10617219,annotations,0,0.617678259
2,Spectrogram 1,1,43.64458471,55.91182291,2230.769,3798.561,0.2493,1567.792,-36.31,2.777,3000,3562.5,2250,2437.5,Y,211208_0072,43.39228925,321.3394918,annotations,0,12.2672382
3,Spectrogram 1,1,56.1611578,62.83491372,2503.597,4143.885,0.2862,1640.288,-42.4,2.453,3562.5,4125,2625,3375,Y,211208_0072,43.39228925,321.3394918,annotations,0,6.673755918
4,Spectrogram 1,1,63.12111031,70.60585936,2848.921,3884.892,0.2426,1035.971,-32.93,1.369,3187.5,3750,3187.5,3187.5,Y,211208_0072,43.39228925,321.3394918,annotations,0,7.484749051
5,Spectrogram 1,1,70.84841402,84.10119181,2244.604,3884.892,0.1943,1640.288,-42.35,2.935,3187.5,3750,2250,3562.5,N,211208_0072,43.39228925,321.3394918,annotations,0,13.25277779
6,Spectrogram 1,1,84.29552283,92.56800434,2244.604,4057.554,0.3215,1812.95,-39.88,2.471,3000,3937.5,2250,2812.5,Y,211208_0072,43.39228925,321.3394918,annotations,0,8.272481504
7,Spectrogram 1,1,92.88953384,100.2044447,2762.59,4316.547,0.3251,1553.957,-39.18,1.932,3562.5,4312.5,3187.5,3562.5,Y,211208_0072,43.39228925,321.3394918,annotations,0,7.314910883
8,Spectrogram 1,1,100.5295075,103.9542807,3076.923,4230.216,0.3676,1153.293,-39.49,1.679,3750,4125,3562.5,3562.5,Y,211208_0072,43.39228925,321.3394918,annotations,0,3.424773154
9,Spectrogram 1,1,104.3219277,110.1903256,3230.769,4143.885,0.3427,913.116,-45.52,1.826,3562.5,4125,3375,3562.5,Y,211208_0072,43.39228925,321.3394918,annotations,0,5.868397893
10,Spectrogram 1,1,110.5330548,118.1013689,3712.23,5093.525,0.1343,1381.295,-60.29,2.612,4312.5,4687.5,3750,4500,N,211208_0072,43.39228925,321.3394918,annotations,0,7.568314063
11,Spectrogram 1,1,118.2356339,125.8843051,2676.259,3884.892,0.2579,1208.633,-56.25,1.977,3562.5,3750,2812.5,3562.5,N,211208_0072,43.39228925,321.3394918,annotations,0,7.64867118
12,Spectrogram 1,1,126.1422354,133.1951043,2676.259,4143.885,0.2509,1467.626,-50.81,2.028,3562.5,3750,2812.5,3375,Y,211208_0072,43.39228925,321.3394918,annotations,0,7.052868886
13,Spectrogram 1,1,133.4459679,150.4827501,2330.935,3884.892,0.2279,1553.957,-40.24,2.191,3375,3750,2812.5,3187.5,Y,211208_0072,43.39228925,321.3394918,annotations,0,17.03678215
14,Spectrogram 1,1,150.7106912,214.3996486,2417.266,4057.554,0.2477,1640.288,-39.45,1.695,3187.5,3937.5,2437.5,3187.5,Y,211208_0072,43.39228925,321.3394918,annotations,0,63.68895736
15,Spectrogram 1,1,214.6473115,233.9088923,2244.604,3798.561,0.265,1553.957,-50.66,2.216,3375,3562.5,2250,3187.5,Y,211208_0072,43.39228925,321.3394918,annotations,0,19.26158083
16,Spectrogram 1,1,234.1739354,290.7334861,3021.583,4402.878,0.2478,1381.295,-41.17,1.879,3750,4312.5,3375,3750,Y,211208_0072,43.39228925,321.3394918,annotations,0,56.55955074
17,Spectrogram 1,1,290.9812922,293.7550194,3538.462,4153.846,0.2721,615.384,-50.27,1.842,3750,4125,3562.5,3562.5,Y,211208_0072,43.39228925,321.3394918,annotations,0,2.773727163
18,Spectrogram 1,1,294.0270782,300.7908611,2935.252,4143.885,0.1691,1208.633,-46.32,2.457,3562.5,4125,3000,3562.5,Y,211208_0072,43.39228925,321.3394918,annotations,0,6.763782962
19,Spectrogram 1,1,300.9599787,301.0202849,2589.928,3884.892,0.0671,1294.964,-57.66,2.021,3375,3562.5,3187.5,3375,,211208_0072,43.39228925,321.3394918,annotations,0,0.060306133
20,Spectrogram 1,1,301.0874174,306.0408602,2935.252,4153.846,0.2206,1218.594,-41.48,1.82,3562.5,3937.5,3187.5,3562.5,Y,211208_0072,43.39228925,321.3394918,annotations,0,4.953442804
21,Spectrogram 1,1,306.2614484,314.3629427,2417.266,3971.223,0.3237,1553.957,-36.19,2.263,3000,3937.5,2812.5,3000,Y,211208_0072,43.39228925,321.3394918,annotations,0,8.101494311
22,Spectrogram 1,1,314.6866661,321.1133611,2503.597,3971.223,0.2261,1467.626,-45.64,2.327,3562.5,3937.5,2625,3937.5,Y,211208_0072,43.39228925,321.3394918,annotations,0,6.426695045
2,Spectrogram 1,1,16.7154737,17.0818796,2923.077,4316.547,0.3431,1393.47,-41.28,1.981,3562.5,3937.5,3000,3562.5,Y,211208_0074,16.51570323,609.9851867,annotations,0,0.366405904
3,Spectrogram 1,1,17.42502333,21.28776123,3076.923,4143.885,0.3136,1066.962,-54.71,2.123,3750,4125,3187.5,3562.5,Y,211208_0074,16.51570323,609.9851867,annotations,0,3.862737893
4,Spectrogram 1,1,21.60132033,24.15426785,4316.547,5525.18,0.2059,1208.633,-45.4,2.329,4875,5437.5,4687.5,5250,Y,211208_0074,16.51570323,609.9851867,annotations,0,2.552947527
5,Spectrogram 1,1,24.36015017,26.8895615,3021.583,4316.547,0.2949,1294.964,-61.21,2.484,3750,4312.5,3375,3562.5,N,211208_0074,16.51570323,609.9851867,annotations,0,2.529411326
6,Spectrogram 1,1,27.18445364,31.48328869,3230.769,4000,0.2868,769.231,-56.94,1.738,3750,3937.5,3375,3562.5,N,211208_0074,16.51570323,609.9851867,annotations,0,4.298835054
7,Spectrogram 1,1,31.77005335,35.74703142,3230.769,3692.308,0.375,461.539,-43.71,0.957,3562.5,3562.5,3375,3375,N,211208_0074,16.51570323,609.9851867,annotations,0,3.976978068
8,Spectrogram 1,1,36.12203135,46.6758923,3230.769,3846.154,0.3015,615.385,-33.59,1.525,3562.5,3750,3375,3562.5,Y,211208_0074,16.51570323,609.9851867,annotations,0,10.55386095
9,Spectrogram 1,1,46.97736284,70.70354005,3230.769,3692.308,0.2574,461.539,-26.21,0.935,3562.5,3562.5,3375,3562.5,N,211208_0074,16.51570323,609.9851867,annotations,0,23.72617722
10,Spectrogram 1,1,70.96089295,71.64471636,4923.077,5538.462,0.2206,615.385,-49.91,1.424,5250,5437.5,5062.5,5062.5,N,211208_0074,16.51570323,609.9851867,annotations,0,0.683823411
11,Spectrogram 1,1,71.86530456,76.69319175,3384.615,4000,0.3382,615.385,-30.23,1.196,3562.5,3937.5,3562.5,3562.5,Y,211208_0074,16.51570323,609.9851867,annotations,0,4.827887195
12,Spectrogram 1,1,77.03142699,83.72648273,3076.923,3692.308,0.2721,615.385,-46.76,1.21,3562.5,3562.5,3187.5,3562.5,N,211208_0074,16.51570323,609.9851867,annotations,0,6.695055738
13,Spectrogram 1,1,83.9985415,85.43971772,4923.077,5538.462,0.1765,615.385,-44.4,1.534,5250,5437.5,5062.5,5062.5,N,211208_0074,16.51570323,609.9851867,annotations,0,1.441176221
14,Spectrogram 1,1,85.61618828,88.54360788,3076.923,3884.892,0.3676,807.969,-57.75,1.742,3562.5,3750,3187.5,3562.5,N,211208_0074,16.51570323,609.9851867,annotations,0,2.927419602
15,Spectrogram 1,1,88.91125488,95.69406569,3076.923,4000,0.2353,923.077,-55.75,2.082,3562.5,3937.5,3375,3937.5,N,211208_0074,16.51570323,609.9851867,annotations,0,6.782810815
16,Spectrogram 1,1,95.92935977,105.571984,3230.769,3846.154,0.2279,615.385,-58.78,1.478,3562.5,3750,3375,3562.5,N,211208_0074,16.51570323,609.9851867,annotations,0,9.642624232
17,Spectrogram 1,1,105.7999251,114.2355897,3076.923,3692.308,0.2574,615.385,-54.77,0.894,3562.5,3562.5,3187.5,3562.5,N,211208_0074,16.51570323,609.9851867,annotations,0,8.435664559
18,Spectrogram 1,1,114.4929426,115.051766,3884.892,5611.511,0.2279,1726.619,-39.3,2.869,4875,5437.5,4125,4312.5,Y,211208_0074,16.51570323,609.9851867,annotations,0,0.558823432
19,Spectrogram 1,1,115.2797072,121.6475962,2923.077,3971.223,0.2721,1048.146,-55.58,2.222,3750,3937.5,3000,3937.5,N,211208_0074,16.51570323,609.9851867,annotations,0,6.36788901
20,Spectrogram 1,1,121.9196549,133.9751767,6769.231,7510.791,0.1544,741.56,-48.58,1.57,7125,7312.5,6937.5,7125,N,211208_0074,16.51570323,609.9851867,annotations,0,12.05552172
21,Spectrogram 1,1,134.1295884,139.2061215,3884.892,5538.462,0.2176,1653.57,-51.79,2.479,5250,5437.5,3937.5,5250,Y,211208_0074,16.51570323,609.9851867,annotations,0,5.076533122
22,Spectrogram 1,1,139.4237051,140.0973628,2923.077,3971.223,0.298,1048.146,-50.91,1.49,3562.5,3750,3375,3562.5,Y,211208_0074,16.51570323,609.9851867,annotations,0,0.673657692
23,Spectrogram 1,1,140.3953667,142.6579729,4057.554,5692.308,0.2059,1634.754,-43.02,2.611,5250,5437.5,4500,5250,Y,211208_0074,16.51570323,609.9851867,annotations,0,2.262606172
24,Spectrogram 1,1,142.8638552,147.2628817,4461.538,5076.923,0.1985,615.385,-37.59,1.904,4687.5,5062.5,4500,5062.5,Y,211208_0074,16.51570323,609.9851867,annotations,0,4.39902655
25,Spectrogram 1,1,147.4614111,148.0785397,3076.923,3884.892,0.2818,807.969,-48.94,1.647,3375,3750,3375,3375,Y,211208_0074,16.51570323,609.9851867,annotations,0,0.617128604
26,Spectrogram 1,1,148.3603309,177.2204255,3539.568,5525.18,0.2279,1985.612,-39.06,2.808,4687.5,5437.5,3562.5,4687.5,Y,211208_0074,16.51570323,609.9851867,annotations,0,28.86009458
27,Spectrogram 1,1,177.4483667,189.935246,3076.923,4057.554,0.2299,980.631,-32.13,1.612,3562.5,3937.5,3187.5,3562.5,Y,211208_0074,16.51570323,609.9851867,annotations,0,12.48687936
28,Spectrogram 1,1,190.1651001,191.1095007,4307.692,5525.18,0.2251,1217.488,-37.39,2.105,5062.5,5250,4312.5,5250,Y,211208_0074,16.51570323,609.9851867,annotations,0,0.944400569
29,Spectrogram 1,1,191.3345887,195.3125292,3076.923,3798.561,0.3088,721.638,-31.7,1.695,3375,3562.5,3187.5,3375,Y,211208_0074,16.51570323,609.9851867,annotations,0,3.977940486
30,Spectrogram 1,1,195.6213527,204.9798981,2158.273,3884.892,0.2431,1726.619,-44.21,2.548,3375,3750,2250,3750,Y,211208_0074,16.51570323,609.9851867,annotations,0,9.358545353
31,Spectrogram 1,1,205.223035,205.8916626,4769.231,5870.504,0.1691,1101.273,-40.85,1.982,5062.5,5437.5,4875,5062.5,Y,211208_0074,16.51570323,609.9851867,annotations,0,0.668627588
32,Spectrogram 1,1,206.0607802,209.6035502,2923.077,4057.554,0.2574,1134.477,-44.47,2.34,3562.5,3937.5,3000,3562.5,Y,211208_0074,16.51570323,609.9851867,annotations,0,3.542769964
33,Spectrogram 1,1,209.8609031,214.8976669,3230.769,4153.846,0.2574,923.077,-52.47,2.01,3562.5,4125,3375,3562.5,Y,211208_0074,16.51570323,609.9851867,annotations,0,5.036763832
34,Spectrogram 1,1,215.1550198,218.0074144,4307.692,4923.077,0.1397,615.385,-38.71,1.631,4500,4875,4312.5,4312.5,Y,211208_0074,16.51570323,609.9851867,annotations,0,2.852394553
35,Spectrogram 1,1,218.1471202,218.661826,3230.769,4057.554,0.287,826.785,-51.52,1.676,3750,3750,3375,3562.5,Y,211208_0074,16.51570323,609.9851867,annotations,0,0.514705793
36,Spectrogram 1,1,218.9488537,223.5413321,3230.769,4143.885,0.3148,913.116,-46.83,1.631,3750,4125,3375,3562.5,Y,211208_0074,16.51570323,609.9851867,annotations,0,4.59247839
37,Spectrogram 1,1,223.8561322,224.4792512,4307.692,4923.077,0.1544,615.385,-41.8,1.617,4687.5,4875,4312.5,4875,Y,211208_0074,16.51570323,609.9851867,annotations,0,0.623118925
38,Spectrogram 1,1,224.6336629,229.7637985,3076.923,3971.223,0.2721,894.3,-47.43,1.846,3562.5,3750,3187.5,3562.5,Y,211208_0074,16.51570323,609.9851867,annotations,0,5.130135592
39,Spectrogram 1,1,230.0358573,234.0652683,4307.692,4923.077,0.1765,615.385,-42.88,1.421,4875,4875,4312.5,4875,N,211208_0074,16.51570323,609.9851867,annotations,0,4.029411066
40,Spectrogram 1,1,234.2417389,234.96968,6923.077,8000,0.2794,1076.923,-37.23,1.405,7500,7500,6937.5,7500,N,211208_0074,16.51570323,609.9851867,annotations,0,0.72794105
41,Spectrogram 1,1,235.2490917,239.7312081,4461.538,5076.923,0.0956,615.385,-24.5,0.968,4500,4500,4500,4500,Y,211208_0074,16.51570323,609.9851867,annotations,0,4.482116475
42,Spectrogram 1,1,239.8267964,240.5694433,3076.923,4057.554,0.2868,980.631,-43.74,1.955,3750,3937.5,3187.5,3750,N,211208_0074,16.51570323,609.9851867,annotations,0,0.74264693
43,Spectrogram 1,1,240.8562079,269.3609032,3230.769,4153.846,0.2279,923.077,-51.2,1.621,3562.5,4125,3375,3562.5,N,211208_0074,16.51570323,609.9851867,annotations,0,28.50469523
44,Spectrogram 1,1,269.5888443,272.9785496,3538.462,4307.692,0.2574,769.23,-54.1,1.612,3750,4125,3562.5,3562.5,N,211208_0074,16.51570323,609.9851867,annotations,0,3.389705294
45,Spectrogram 1,1,273.2359025,276.1550196,3230.769,4230.216,0.3052,999.447,-47.77,1.798,3562.5,4125,3375,3562.5,Y,211208_0074,16.51570323,609.9851867,annotations,0,2.919117141
46,Spectrogram 1,1,276.46019,277.6744194,3884.892,5538.462,0.1699,1653.57,-37.43,2.95,4312.5,5437.5,3937.5,4500,Y,211208_0074,16.51570323,609.9851867,annotations,0,1.214229304
47,Spectrogram 1,1,277.8443346,279.0575697,3230.769,4000,0.25,769.231,-45.76,1.553,3562.5,3937.5,3375,3562.5,Y,211208_0074,16.51570323,609.9851867,annotations,0,1.213235084
48,Spectrogram 1,1,279.3075696,284.0060982,2417.266,3884.892,0.2652,1467.626,-29.29,2.199,3562.5,3562.5,2625,3187.5,Y,211208_0074,16.51570323,609.9851867,annotations,0,4.698528596
49,Spectrogram 1,1,284.271294,284.9984396,3453.237,5076.923,0.1618,1623.686,-42.46,2.383,4125,5062.5,3562.5,4125,N,211208_0074,16.51570323,609.9851867,annotations,0,0.727145583
50,Spectrogram 1,1,285.1602042,289.2551988,3798.561,5538.462,0.2231,1739.901,-42.6,2.666,4687.5,5437.5,3937.5,4312.5,Y,211208_0074,16.51570323,609.9851867,annotations,0,4.094994565
51,Spectrogram 1,1,289.4783485,291.000407,2762.59,4402.878,0.2885,1640.288,-39.11,1.755,3562.5,3937.5,3000,3562.5,Y,211208_0074,16.51570323,609.9851867,annotations,0,1.522058559
52,Spectrogram 1,1,291.288908,297.956008,3107.914,4230.216,0.3298,1122.302,-34.28,1.512,3562.5,3937.5,3187.5,3562.5,Y,211208_0074,16.51570323,609.9851867,annotations,0,6.667100001
53,Spectrogram 1,1,298.2857987,311.423266,3230.769,3692.308,0.2132,461.539,-53.01,0.489,3562.5,3562.5,3562.5,3562.5,N,211208_0074,16.51570323,609.9851867,annotations,0,13.13746733
54,Spectrogram 1,1,311.6365012,312.4747364,4769.231,5384.615,0.1765,615.384,-41.85,1.497,5062.5,5250,4875,5062.5,N,211208_0074,16.51570323,609.9851867,annotations,0,0.838235149
55,Spectrogram 1,1,312.651207,315.4482664,3076.923,3846.154,0.2353,769.231,-51.03,1.372,3562.5,3750,3375,3562.5,Y,211208_0074,16.51570323,609.9851867,annotations,0,2.797059492
56,Spectrogram 1,1,315.6835605,316.8159133,4307.692,5179.856,0.2441,872.164,-40.05,1.85,5062.5,5062.5,4312.5,5062.5,Y,211208_0074,16.51570323,609.9851867,annotations,0,1.132352744
57,Spectrogram 1,1,317.0599652,318.0953248,2923.077,3692.308,0.3088,769.231,-58.47,1.048,3562.5,3562.5,3000,3562.5,N,211208_0074,16.51570323,609.9851867,annotations,0,1.035359631
58,Spectrogram 1,1,318.4041483,320.4997362,4153.846,4923.077,0.1838,769.231,-31.61,1.449,4500,4875,4312.5,4312.5,Y,211208_0074,16.51570323,609.9851867,annotations,0,2.095587871
59,Spectrogram 1,1,320.6835597,326.3909642,4307.692,4923.077,0.1618,615.385,-52.29,1.601,4500,4875,4312.5,4500,N,211208_0074,16.51570323,609.9851867,annotations,0,5.707404586
60,Spectrogram 1,1,326.5527289,327.3615523,3076.923,3692.308,0.2059,615.385,-63.04,1.146,3562.5,3562.5,3187.5,3562.5,N,211208_0074,16.51570323,609.9851867,annotations,0,0.808823389
61,Spectrogram 1,1,327.5674346,334.76519,4153.846,4769.231,0.1397,615.385,-55.31,1.432,4500,4687.5,4312.5,4312.5,N,211208_0074,16.51570323,609.9851867,annotations,0,7.197755393
62,Spectrogram 1,1,334.9048959,335.4857781,6461.538,7538.462,0.3162,1076.924,-61.51,2.211,7312.5,7500,6562.5,7312.5,N,211208_0074,16.51570323,609.9851867,annotations,0,0.580882253
63,Spectrogram 1,1,335.8019545,340.7585475,6923.077,7538.462,0.2574,615.385,-54.64,1.433,7312.5,7500,6937.5,7312.5,N,211208_0074,16.51570323,609.9851867,annotations,0,4.956592925
64,Spectrogram 1,1,341.0159004,342.5293489,4461.538,5384.615,0.1324,923.077,-41.45,1.56,4500,5250,4500,4500,N,211208_0074,16.51570323,609.9851867,annotations,0,1.513448562
65,Spectrogram 1,1,342.6617018,345.088172,3076.923,4153.846,0.2132,1076.923,-61.3,2.303,3562.5,4125,3187.5,3562.5,N,211208_0074,16.51570323,609.9851867,annotations,0,2.426470167
66,Spectrogram 1,1,345.3014073,353.9556261,3230.769,4000,0.2647,769.231,-53.48,1.592,3562.5,3937.5,3375,3562.5,Y,211208_0074,16.51570323,609.9851867,annotations,0,8.654218844
67,Spectrogram 1,1,354.2203319,354.6835672,4153.846,4769.231,0.125,615.385,-54.09,1.341,4500,4687.5,4312.5,4500,N,211208_0074,16.51570323,609.9851867,annotations,0,0.463235214
68,Spectrogram 1,1,354.8085671,383.3223436,3230.769,4000,0.2059,769.231,-34.37,1.419,3562.5,3937.5,3375,3562.5,Y,211208_0074,16.51570323,609.9851867,annotations,0,28.51377649
69,Spectrogram 1,1,383.5282259,394.01806,2769.231,3692.308,0.1912,923.077,-35.31,1.464,3375,3562.5,2812.5,3562.5,Y,211208_0074,16.51570323,609.9851867,annotations,0,10.48983403
70,Spectrogram 1,1,394.2092364,406.2855007,3384.615,4153.846,0.3112,769.231,-39.98,1.031,3562.5,4125,3562.5,3562.5,Y,211208_0074,16.51570323,609.9851867,annotations,0,12.07626429
71,Spectrogram 1,1,406.5967037,407.0912157,4615.385,5384.615,0.1912,769.23,-60.38,1.841,5062.5,5250,4687.5,5062.5,N,211208_0074,16.51570323,609.9851867,annotations,0,0.494511976
72,Spectrogram 1,1,407.2823921,411.9448099,3538.462,4153.846,0.2647,615.384,-49.41,1.746,3750,3937.5,3562.5,3750,Y,211208_0074,16.51570323,609.9851867,annotations,0,4.662417772
73,Spectrogram 1,1,412.2095157,413.0465475,3884.892,5870.504,0.1899,1985.612,-61.66,3.037,4875,5250,3937.5,5062.5,NON,211208_0074,16.51570323,609.9851867,annotations,0,0.837031793
74,Spectrogram 1,1,413.236427,414.2756918,3230.769,4153.846,0.3162,923.077,-53.66,1.945,3750,3937.5,3375,3562.5,Y,211208_0074,16.51570323,609.9851867,annotations,0,1.039264839
75,Spectrogram 1,1,414.5918682,416.7514141,4769.231,5076.923,0.1765,307.692,-56.83,0.997,4875,5062.5,4875,4875,N,211208_0074,16.51570323,609.9851867,annotations,0,2.159545861
76,Spectrogram 1,1,416.9278847,417.9720021,3230.769,4000,0.2867,769.231,-52.04,1.68,3562.5,3937.5,3375,3562.5,N,211208_0074,16.51570323,609.9851867,annotations,0,1.044117465
77,Spectrogram 1,1,418.2587487,421.4646486,4923.077,5538.462,0.1985,615.385,-55.25,1.173,5062.5,5437.5,5062.5,5062.5,N,211208_0074,16.51570323,609.9851867,annotations,0,3.205899929
78,Spectrogram 1,1,421.663178,432.2999394,3230.769,4153.846,0.3309,923.077,-44.67,1.634,3562.5,3937.5,3375,3562.5,Y,211208_0074,16.51570323,609.9851867,annotations,0,10.63676142
79,Spectrogram 1,1,432.6308217,433.2698699,4057.554,5697.842,0.2065,1640.288,-50.9,2.595,5062.5,5437.5,4312.5,5250,Y,211208_0074,16.51570323,609.9851867,annotations,0,0.639048226
80,Spectrogram 1,1,433.4764098,438.4290558,3384.615,4153.846,0.25,769.231,-48.19,1.277,3562.5,3750,3562.5,3562.5,Y,211208_0074,16.51570323,609.9851867,annotations,0,4.952646066
81,Spectrogram 1,1,438.6790558,439.3235674,4615.385,5538.462,0.2049,923.077,-49.78,2.058,4875,5250,4687.5,4875,Y,211208_0074,16.51570323,609.9851867,annotations,0,0.644511597
82,Spectrogram 1,1,439.5284373,444.2346429,3538.462,4615.385,0.3015,1076.923,-53.84,1.925,3937.5,4500,3562.5,3937.5,Y,211208_0074,16.51570323,609.9851867,annotations,0,4.706205577
83,Spectrogram 1,1,444.5361135,445.7346427,4461.538,5230.769,0.2132,769.231,-56.65,1.847,4875,5062.5,4500,5062.5,N,211208_0074,16.51570323,609.9851867,annotations,0,1.198529203
84,Spectrogram 1,1,445.9478779,459.2172659,3384.615,4307.692,0.25,923.077,-52.54,1.405,3562.5,4125,3562.5,3562.5,N,211208_0074,16.51570323,609.9851867,annotations,0,13.26938798
85,Spectrogram 1,1,459.4672658,467.1841401,3076.923,4316.547,0.373,1239.624,-44.17,1.958,3750,3937.5,3562.5,3562.5,Y,211208_0074,16.51570323,609.9851867,annotations,0,7.716874283
86,Spectrogram 1,1,467.557092,475.2020027,4923.077,5538.462,0.2132,615.385,-59.04,1.214,5437.5,5437.5,5062.5,5437.5,N,211208_0074,16.51570323,609.9851867,annotations,0,7.644910775
87,Spectrogram 1,1,475.415238,476.0081763,3076.923,4143.885,0.3115,1066.962,-54.04,1.826,3562.5,4125,3375,3562.5,Y,211208_0074,16.51570323,609.9851867,annotations,0,0.592938349
88,Spectrogram 1,1,476.3196496,484.1641541,4769.231,5230.769,0.2132,461.538,-52.26,0.999,5062.5,5062.5,4875,5062.5,Y,211208_0074,16.51570323,609.9851867,annotations,0,7.844504495
89,Spectrogram 1,1,484.3773894,485.3626833,3076.923,4153.846,0.2279,1076.923,-44.41,1.457,3562.5,3750,3187.5,3562.5,Y,211208_0074,16.51570323,609.9851867,annotations,0,0.985293946
90,Spectrogram 1,1,485.5906244,486.3038596,4461.538,5230.769,0.1838,769.231,-59.82,1.739,4687.5,5062.5,4500,4687.5,N,211208_0074,16.51570323,609.9851867,annotations,0,0.713235171
91,Spectrogram 1,1,486.4876831,489.1949967,3384.615,4307.692,0.2426,923.077,-46.06,1.411,3750,3937.5,3562.5,3750,Y,211208_0074,16.51570323,609.9851867,annotations,0,2.70731362
92,Spectrogram 1,1,489.4376437,493.7799392,4153.846,4923.077,0.1471,769.231,-52.68,1.443,4687.5,4875,4312.5,4687.5,Y,211208_0074,16.51570323,609.9851867,annotations,0,4.342295504
93,Spectrogram 1,1,493.926998,502.7647427,4645.161,5419.355,0.1103,774.194,-52.5,1.702,4875,5062.5,4687.5,4875,N,211208_0074,16.51570323,609.9851867,annotations,0,8.837744684
94,Spectrogram 1,1,502.8750368,503.4191544,2941.935,4025.806,0.25,1083.871,-43.63,1.687,3562.5,3750,3000,3562.5,Y,211208_0074,16.51570323,609.9851867,annotations,0,0.544117553
95,Spectrogram 1,1,503.6691543,505.1029776,4645.161,5264.516,0.1176,619.355,-63.03,1.753,4687.5,5250,4687.5,4687.5,N,211208_0074,16.51570323,609.9851867,annotations,0,1.43382328
96,Spectrogram 1,1,505.2206247,512.802701,3251.613,4025.806,0.2426,774.193,-26.59,1.523,3562.5,3937.5,3375,3562.5,Y,211208_0074,16.51570323,609.9851867,annotations,0,7.582076396
97,Spectrogram 1,1,513.0453481,518.685053,2632.258,4025.806,0.3676,1393.548,-49.41,1.847,3562.5,3937.5,3000,3562.5,Y,211208_0074,16.51570323,609.9851867,annotations,0,5.639704903
