label,Selection,Delta Time (s),begin_time,View,StartMicInWater,EndMicInWater,Low Freq (Hz),High Freq (Hz),filepath,call_length,end_time,Delta Freq (Hz),filename,split_type
0,36,0.148,590.715,Spectrogram 1,24.659,1710.758,1089.0,2561.0,annotations,15.884000000000016,606.599,1472.0,67407878.170716112708,train
0,59,0.1689999999999999,705.021,Spectrogram 1,129.123,5353.357,1578.9,20421.1,annotations,0.48599999999999,705.507,18842.2,67407878.170709232519,train
0,221,0.1369999999999999,3695.183,Spectrogram 1,129.123,5353.357,3858.8,12329.4,annotations,0.6419999999998254,3695.825,8470.6,67407878.170709232519,train
1,86,0.073,1850.338,Spectrogram 1,1.066,5392.924,6404.0,9541.9,annotations,0.0730000000000927,1850.411,3137.9,67407878.170709035524,train
1,5,0.311,1541.471,Spectrogram 1,49.253,1709.616,595.0,3768.6,annotations,0.3109999999999218,1541.782,3173.6,67407878.170714155713,train
1,319,0.154,3468.493,Spectrogram 1,1.066,5392.924,1267.9,10923.6,annotations,0.1539999999999963,3468.647,9655.7,67407878.170709035524,train
0,346,0.103,3550.969,Spectrogram 1,1.066,5392.924,3586.2,22351.5,annotations,0.2829999999999018,3551.252,18765.3,67407878.170709035524,train
0,11,0.138,436.035,Spectrogram 1,393.52,1630.245,5737.6,16443.1,annotations,5.699000000000012,441.734,10705.5,67407878.170714002715,train
0,33,0.154,531.285,Spectrogram 1,94.98,1283.954,5475.7,11068.0,annotations,4.338000000000079,535.623,5592.3,67407878.170715055713,train
0,139,0.193,2119.441,Spectrogram 1,71.428399024,5391.007,1697.1,11879.4,annotations,0.8970000000003893,2120.338,10182.3,67407878.170710005518,train
1,109,0.156,1990.254,Spectrogram 1,1.066,5392.924,3706.2,9962.3,annotations,0.1560000000001764,1990.41,6256.1,67407878.170709035524,train
1,285,0.1169999999999999,4507.238,Spectrogram 1,71.428399024,5391.007,2828.4,13293.6,annotations,0.1169999999992796,4507.355,10465.2,67407878.170710005518,train
1,10,0.191,101.727,Spectrogram 1,71.428399024,5391.007,1918.4,31930.4,annotations,0.1910000000000025,101.918,30012.0,67407878.170710005518,train
1,41,0.228,5291.865,Spectrogram 1,822.031169183,5392.058,5447.3,20330.7,annotations,0.2280000000000654,5292.093,14883.4,67407878.170708232525,train
0,191,2.323,3263.752,Spectrogram 1,129.123,5353.357,0.0,70410.6,annotations,0.2290000000002692,3263.981,70410.6,67407878.170709232519,train
1,79,0.191,1076.041,Spectrogram 1,71.428399024,5391.007,2859.6,27166.0,annotations,0.1910000000000309,1076.232,24306.4,67407878.170710005518,train
1,332,0.145,3510.265,Spectrogram 1,1.066,5392.924,2340.8,12874.2,annotations,0.1449999999999818,3510.41,10533.4,67407878.170709035524,train
0,103,1.025,2056.114,Spectrogram 1,39.688,4857.42,7160.2,15580.1,annotations,36.72899999999981,2092.843,8419.9,67407878.170710095516,train
1,196,7.796,3320.284,Spectrogram 1,129.123,5353.357,0.0,11313.7,annotations,7.795999999999822,3328.08,11313.7,67407878.170709232519,train
1,27,0.23,295.323,Spectrogram 1,129.123,5353.357,1103.4,43641.0,annotations,0.2300000000000182,295.553,42537.6,67407878.170709232519,train
1,109,0.276,2125.465,Spectrogram 1,129.123,5353.357,3505.7,24938.0,annotations,0.2759999999998399,2125.741,21432.3,67407878.170709232519,train
0,32,0.251,1787.123,Spectrogram 1,176.483,1799.962,1202.3,2913.2,annotations,12.587999999999964,1799.711,1710.9,67407878.170716105708,train
0,97,0.067,1920.637,Spectrogram 1,1.066,5392.924,4256.6,5705.7,annotations,3.477000000000089,1924.114,1449.1,67407878.170709035524,train
1,60,0.193,1123.674,Spectrogram 1,24.659,1710.758,1406.7,2722.6,annotations,0.1929999999999836,1123.867,1315.9,67407878.170716112708,train
1,3,0.182,452.499,Spectrogram 1,37.901,1796.21,1948.8,14940.6,annotations,0.1819999999999595,452.681,12991.8,67407878.170713222715,train
1,181,0.198,3062.262,Spectrogram 1,129.123,5353.357,2228.5,18856.2,annotations,0.1979999999998654,3062.46,16627.7,67407878.170709232519,train
1,133,0.125,2652.921,Spectrogram 1,129.123,5353.357,6852.0,21193.3,annotations,0.125,2653.046,14341.3,67407878.170709232519,train
0,29,0.1689999999999999,1408.272,Spectrogram 1,375.283,1793.46,2154.5,10287.5,annotations,188.53500000000008,1596.807,8133.0,67407878.170713215715,train
1,217,0.1159999999999999,2765.969,Spectrogram 1,1.066,5392.924,4974.1,7217.4,annotations,0.1159999999999854,2766.085,2243.3,67407878.170709035524,train
1,144,0.249,2749.309,Spectrogram 1,129.123,5353.357,6127.1,16446.5,annotations,0.2489999999997962,2749.558,10319.4,67407878.170709232519,train
1,155,0.249,2884.252,Spectrogram 1,129.123,5353.357,4998.5,39342.7,annotations,0.249000000000251,2884.501,34344.2,67407878.170709232519,train
0,55,0.124,653.094,Spectrogram 1,129.123,5353.357,5789.5,10105.3,annotations,41.58299999999997,694.677,4315.8,67407878.170709232519,train
0,1,0.14,359.408,Spectrogram 1,359.307,1166.747,7185.6,66801.6,annotations,807.199,1166.607,59616.0,67407878.170714232713,train
0,37,0.186,555.918,Spectrogram 1,94.98,1283.954,2471.4,11039.1,annotations,9.206000000000016,565.124,8567.7,67407878.170715055713,train
0,307,0.145,4942.467,Spectrogram 1,129.123,5353.357,8320.2,10169.1,annotations,58.32500000000073,5000.792,1848.9,67407878.170709232519,train
1,209,0.317,3125.489,Spectrogram 1,71.428399024,5391.007,2200.0,22985.4,annotations,0.3170000000000073,3125.806,20785.4,67407878.170710005518,train
1,86,0.382,466.916,Spectrogram 1,1.197,5326.316999999999,6773.0,11795.7,annotations,0.382000000000005,467.298,5022.7,67407878.170710052517,train
1,289,0.293,4474.541,Spectrogram 1,129.123,5353.357,6211.8,19566.1,annotations,0.2929999999996653,4474.834,13354.3,67407878.170709232519,train
0,48,0.1159999999999999,939.529,Spectrogram 1,2.817,1437.053,1573.1,21921.5,annotations,8.234000000000037,947.763,20348.4,67407878.170713225715,train
0,115,0.163,1531.468,Spectrogram 1,71.428399024,5391.007,2155.1,15673.5,annotations,2.24799999999982,1533.716,13518.4,67407878.170710005518,train
0,15,0.2319999999999999,651.812,Spectrogram 1,448.483,1224.158,1068.5,32547.9,annotations,0.79200000000003,652.604,31479.4,67407878.170714025715,train
1,14,0.27,1766.987,Spectrogram 1,136.149,1772.651,0.0,2170.7,annotations,0.2699999999999818,1767.257,2170.7,67407878.170714162713,train
0,42,0.172,929.101,Spectrogram 1,71.428399024,5391.007,3676.3,9017.3,annotations,15.313999999999965,944.415,5341.0,67407878.170710005518,train
0,9,0.607,1401.533,Spectrogram 1,78.79,1609.798,0.0,2085.6,annotations,207.65800000000013,1609.191,2085.6,67407878.170716135708,train
1,273,0.055,4435.674,Spectrogram 1,71.428399024,5391.007,4808.3,9333.8,annotations,0.055000000000291,4435.729,4525.5,67407878.170710005518,train
1,14,0.492,784.188,Spectrogram 1,393.52,1630.245,1293.5,4242.6,annotations,0.4919999999999618,784.68,2949.1,67407878.170714002715,train
1,56,0.259,295.553,Spectrogram 1,1.197,5326.316999999999,2511.3,37327.0,annotations,0.2590000000000145,295.812,34815.7,67407878.170710052517,train
1,9,1.132,122.804,Spectrogram 1,39.688,4857.42,4097.5,6282.9,annotations,1.132000000000005,123.936,2185.4,67407878.170710095516,train
0,8,0.535,1087.181,Spectrogram 1,78.79,1609.798,0.0,1106.8,annotations,313.817,1400.998,1106.8,67407878.170716135708,train
1,214,0.1989999999999999,3614.664,Spectrogram 1,129.123,5353.357,1996.5,4392.4,annotations,0.1989999999996143,3614.863,2395.9,67407878.170709232519,train
0,56,0.327,2566.911,Spectrogram 1,1031.939,4277.935,10728.5,16580.4,annotations,128.7829999999999,2695.694,5851.9,67407878.170708215525,train
0,20,0.291,2108.576,Spectrogram 1,54.644,5366.656,0.0,2243.2,annotations,194.79599999999985,2303.372,2243.2,67407878.170709082523,train
1,6,0.346,1596.698,Spectrogram 1,209.788,1601.908,5200.7,16103.8,annotations,0.3460000000000036,1597.044,10903.1,67407878.170714085714,train
0,39,0.18,456.507,Spectrogram 1,129.123,5353.357,2631.6,25391.1,annotations,29.642,486.149,22759.5,67407878.170709232519,train
1,70,1.108,1341.295,Spectrogram 1,39.688,4857.42,10680.6,14890.1,annotations,1.1079999999999472,1342.403,4209.5,67407878.170710095516,train
0,6,0.406,158.881,Spectrogram 1,94.98,1283.954,1281.6,6174.8,annotations,3.002999999999986,161.884,4893.2,67407878.170715055713,train
1,163,0.276,2306.932,Spectrogram 1,71.428399024,5391.007,4666.9,15980.6,annotations,0.2760000000002947,2307.208,11313.7,67407878.170710005518,train
1,92,0.146,4214.198,Spectrogram 1,1031.939,4277.935,10482.8,15034.5,annotations,0.1459999999997308,4214.344,4551.7,67407878.170708215525,train
0,62,0.259,302.16200000000003,Spectrogram 1,1.197,5326.316999999999,2511.3,59707.1,annotations,0.3349999999999795,302.497,57195.8,67407878.170710052517,train
1,80,0.095,1832.526,Spectrogram 1,1.066,5392.924,5343.4,17207.5,annotations,0.0950000000000272,1832.621,11864.1,67407878.170709035524,train
0,50,0.3289999999999999,604.511,Spectrogram 1,129.123,5353.357,4317.1,21883.1,annotations,6.234000000000037,610.745,17566.0,67407878.170709232519,train
0,16,0.32,197.368,Spectrogram 1,1.197,5326.316999999999,5327.4,17596.4,annotations,4.828000000000003,202.196,12269.0,67407878.170710052517,train
1,306,0.129,3392.228,Spectrogram 1,1.066,5392.924,7616.1,12776.7,annotations,0.1289999999999054,3392.357,5160.6,67407878.170709035524,train
0,244,0.27,4096.972,Spectrogram 1,71.428399024,5391.007,7100.0,17394.8,annotations,5.1580000000003565,4102.13,10294.8,67407878.170710005518,train
0,19,0.952,2032.9,Spectrogram 1,1.999,5095.478,260.9,2347.8,annotations,663.4090000000001,2696.309,2086.9,67407878.170709095523,train
1,34,0.135,471.345,Spectrogram 1,71.428399024,5391.007,7696.2,13468.4,annotations,0.1349999999999909,471.48,5772.2,67407878.170710005518,train
1,35,0.104,5184.516,Spectrogram 1,822.031169183,5392.058,5030.6,18276.8,annotations,0.1040000000002692,5184.62,13246.2,67407878.170708232525,train
1,30,1.527,4061.971,Spectrogram 1,50.978,5342.312,3316.1,12484.1,annotations,1.5270000000000437,4063.498,9168.0,67407878.170709112522,train
0,3,0.1939999999999999,444.986,Spectrogram 1,393.52,1630.245,3797.1,21852.5,annotations,9.852000000000032,454.838,18055.4,67407878.170714002715,train
0,70,1.108,1322.021,Spectrogram 1,39.688,4857.42,10680.6,14890.1,annotations,19.274000000000115,1341.295,4209.5,67407878.170710095516,train
0,30,0.272,686.311,Spectrogram 1,41.992,1558.043,0.0,1910.8,annotations,88.38900000000001,774.7,1910.8,67407878.170714175712,train
1,275,0.083,4406.986,Spectrogram 1,129.123,5353.357,2974.9,12170.1,annotations,0.0830000000005384,4407.069,9195.2,67407878.170709232519,train
1,43,0.184,947.522,Spectrogram 1,71.428399024,5391.007,3000.0,9677.4,annotations,0.183999999999969,947.706,6677.4,67407878.170710005518,train
1,119,0.436,2178.786,Spectrogram 1,39.688,4857.42,3779.0,23602.2,annotations,0.4360000000001491,2179.222,19823.2,67407878.170710095516,train
1,3,0.218,521.166,Spectrogram 1,448.483,1224.158,1642.1,15705.1,annotations,0.2179999999999609,521.384,14063.0,67407878.170714025715,train
0,234,0.133,3848.387,Spectrogram 1,71.428399024,5391.007,5939.7,11596.6,annotations,15.265999999999622,3863.653,5656.9,67407878.170710005518,train
1,245,0.369,4282.987,Spectrogram 1,129.123,5353.357,780.3,23235.1,annotations,0.3689999999996871,4283.356,22454.8,67407878.170709232519,train
1,25,0.351,2870.651,Spectrogram 1,54.644,5366.656,0.0,3121.0,annotations,0.3510000000001128,2871.002,3121.0,67407878.170709082523,train
1,131,0.149,2221.146,Spectrogram 1,1.066,5392.924,3169.8,9418.9,annotations,0.1489999999998872,2221.295,6249.1,67407878.170709035524,train
0,64,0.182,1276.785,Spectrogram 1,94.98,1283.954,7495.3,8485.3,annotations,6.986999999999853,1283.772,990.0,67407878.170715055713,train
0,136,0.143,2238.931,Spectrogram 1,1.066,5392.924,5252.8,14473.0,annotations,0.5169999999998254,2239.448,9220.2,67407878.170709035524,train
1,33,0.416,1708.043,Spectrogram 1,223.034,1789.787,1091.7,36581.5,annotations,0.4160000000001673,1708.459,35489.8,67407878.170716052709,train
1,299,0.1639999999999999,3353.864,Spectrogram 1,1.066,5392.924,5071.7,12776.7,annotations,0.1639999999997599,3354.028,7705.0,67407878.170709035524,train
1,88,0.1669999999999999,1126.239,Spectrogram 1,71.428399024,5391.007,5199.5,13063.3,annotations,0.1669999999999163,1126.406,7863.8,67407878.170710005518,train
0,85,0.24,1093.716,Spectrogram 1,71.428399024,5391.007,2483.5,37583.0,annotations,2.2600000000002183,1095.976,35099.5,67407878.170710005518,train
0,169,0.1369999999999999,2372.328,Spectrogram 1,1.066,5392.924,3901.3,7412.4,annotations,3.75,2376.078,3511.1,67407878.170709035524,train
1,142,0.341,2267.473,Spectrogram 1,1.066,5392.924,6133.3,14577.8,annotations,0.3409999999998945,2267.814,8444.5,67407878.170709035524,train
1,222,0.079,3703.065,Spectrogram 1,129.123,5353.357,4894.1,20141.2,annotations,0.0789999999997235,3703.144,15247.1,67407878.170709232519,train
0,155,0.085,2344.198,Spectrogram 1,1.066,5392.924,3608.7,19073.7,annotations,0.0950000000002546,2344.293,15465.0,67407878.170709035524,train
1,45,0.335,1747.397,Spectrogram 1,223.034,1789.787,3962.3,16629.8,annotations,0.3350000000000364,1747.732,12667.5,67407878.170716052709,train
1,83,0.07,1093.261,Spectrogram 1,71.428399024,5391.007,3676.6,17770.2,annotations,0.0699999999999363,1093.331,14093.6,67407878.170710005518,train
1,19,0.3279999999999999,1437.79,Spectrogram 1,393.52,1630.245,468.8,2953.4,annotations,0.3279999999999745,1438.118,2484.6,67407878.170714002715,train
0,12,0.178,620.81,Spectrogram 1,448.483,1224.158,669.4,20091.2,annotations,1.05600000000004,621.866,19421.8,67407878.170714025715,train
1,52,0.142,722.677,Spectrogram 1,448.483,1224.158,1272.8,6884.6,annotations,0.141999999999939,722.819,5611.8,67407878.170714025715,train
0,125,0.24,2208.726,Spectrogram 1,39.688,4857.42,3215.5,4555.3,annotations,77.11599999999999,2285.842,1339.8,67407878.170710095516,train
1,10,0.434,858.651,Spectrogram 1,176.483,1799.962,832.3,2057.7,annotations,0.4340000000000827,859.085,1225.4,67407878.170716105708,train
1,109,0.627,2124.481,Spectrogram 1,39.688,4857.42,7690.6,16375.7,annotations,0.6269999999999527,2125.108,8685.1,67407878.170710095516,train
0,37,0.129,5223.727,Spectrogram 1,822.031169183,5392.058,7918.0,11817.4,annotations,30.80500000000029,5254.532,3899.4,67407878.170708232525,train
1,34,0.231,1033.467,Spectrogram 1,448.483,1224.158,694.6,17959.5,annotations,0.2309999999999945,1033.698,17264.9,67407878.170714025715,train
0,7,0.152,1452.553,Spectrogram 1,37.901,1796.21,2270.7,11592.6,annotations,341.25599999999986,1793.809,9321.9,67407878.170713222715,train
1,9,0.081,1657.191,Spectrogram 1,1.999,5095.478,5071.7,13041.5,annotations,0.0809999999999036,1657.272,7969.8,67407878.170709095523,train
0,186,0.084,2422.251,Spectrogram 1,1.066,5392.924,3803.7,11411.2,annotations,0.0899999999996907,2422.341,7607.5,67407878.170709035524,train
1,20,0.536,3053.046,Spectrogram 1,50.978,5342.312,189.7,3130.4,annotations,0.5360000000000582,3053.582,2940.7,67407878.170709112522,train
1,4,0.501,1255.356,Spectrogram 1,540.285,1561.737,6661.3,15781.0,annotations,0.5009999999999764,1255.857,9119.7,67407878.170715195710,train
1,263,0.262,4353.662,Spectrogram 1,129.123,5353.357,5003.3,33129.8,annotations,0.2619999999997162,4353.924,28126.5,67407878.170709232519,train
1,15,0.257,1531.659,Spectrogram 1,723.42,1716.304,4669.7,9168.5,annotations,0.2569999999998344,1531.916,4498.8,67407878.170715052713,train
1,70,0.218,1033.72,Spectrogram 1,71.428399024,5391.007,1519.0,17316.5,annotations,0.2180000000000745,1033.938,15797.5,67407878.170710005518,train
0,257,0.183,4205.591,Spectrogram 1,71.428399024,5391.007,7495.3,18667.6,annotations,16.22399999999925,4221.815,11172.3,67407878.170710005518,train
1,9,0.1369999999999999,113.31,Spectrogram 1,1.197,5326.316999999999,2852.0,6672.6,annotations,0.1370000000000004,113.447,3820.6,67407878.170710052517,train
1,84,0.073,1093.643,Spectrogram 1,71.428399024,5391.007,5310.6,13889.4,annotations,0.0729999999998654,1093.716,8578.8,67407878.170710005518,train
0,17,0.115,539.469,Spectrogram 1,2.817,1437.053,2778.9,19582.1,annotations,0.4549999999999272,539.924,16803.2,67407878.170713225715,train
1,10,0.216,123.674,Spectrogram 1,2.817,1437.053,2642.8,12853.5,annotations,0.2160000000000081,123.89,10210.7,67407878.170713225715,train
1,44,2.469,1102.254,Spectrogram 1,39.688,4857.42,7853.4,16586.4,annotations,2.469000000000051,1104.723,8733.0,67407878.170710095516,train
0,14,0.17,288.59,Spectrogram 1,2.817,1437.053,2236.0,31189.1,annotations,134.11800000000005,422.708,28953.1,67407878.170713225715,train
0,253,0.15,3145.207,Spectrogram 1,1.066,5392.924,4779.1,10533.5,annotations,2.4590000000002874,3147.666,5754.4,67407878.170709035524,train
0,72,0.34,1260.095,Spectrogram 1,94.98,1283.954,707.1,12303.7,annotations,2.408999999999878,1262.504,11596.6,67407878.170715055713,train
0,19,0.3279999999999999,1219.96,Spectrogram 1,393.52,1630.245,468.8,2953.4,annotations,217.82999999999996,1437.79,2484.6,67407878.170714002715,train
0,41,0.158,1202.764,Spectrogram 1,1.066,5392.924,4618.9,10419.5,annotations,2.413000000000011,1205.177,5800.6,67407878.170709035524,train
1,185,0.266,2531.913,Spectrogram 1,71.428399024,5391.007,1600.0,30289.2,annotations,0.2660000000000764,2532.179,28689.2,67407878.170710005518,train
0,2,0.262,1.265,Spectrogram 1,1.066,5392.924,5656.9,8875.5,annotations,12.22,13.485,3218.6,67407878.170709035524,train
0,21,0.3,1060.726,Spectrogram 1,1.066,5392.924,4603.9,15005.3,annotations,11.096044344999882,1071.822044345,10401.4,67407878.170709035524,train
1,21,0.238,4882.118278211,Spectrogram 1,822.031169183,5392.058,7682.6,20447.7,annotations,0.2377217889998064,4882.356,12765.1,67407878.170708232525,train
1,19,0.19,1223.797,Spectrogram 1,375.283,1793.46,4693.5,16737.3,annotations,0.1900000000000545,1223.987,12043.8,67407878.170713215715,train
1,31,0.079,416.908,Spectrogram 1,71.428399024,5391.007,2126.6,23088.6,annotations,0.0790000000000077,416.987,20962.0,67407878.170710005518,train
1,2,0.205,4.477,Spectrogram 1,1.197,5326.316999999999,4465.9,12147.4,annotations,0.2049999999999991,4.682,7681.5,67407878.170710052517,train
1,51,0.22,631.344,Spectrogram 1,129.123,5353.357,2736.8,12947.4,annotations,0.2199999999999136,631.564,10210.6,67407878.170709232519,train
1,46,0.302,923.968,Spectrogram 1,2.817,1437.053,1512.2,15122.3,annotations,0.3019999999999072,924.27,13610.1,67407878.170713225715,train
0,31,0.1639999999999999,1774.609,Spectrogram 1,176.483,1799.962,1672.0,3385.8,annotations,12.350000000000136,1786.959,1713.8,67407878.170716105708,train
0,6,0.2339999999999999,86.129,Spectrogram 1,71.428399024,5391.007,2361.1,49685.6,annotations,2.117999999999995,88.247,47324.5,67407878.170710005518,train
0,58,0.1989999999999999,1043.207,Spectrogram 1,448.483,1224.158,1262.9,10384.0,annotations,15.169999999999844,1058.377,9121.1,67407878.170714025715,train
1,91,1.388,1675.485,Spectrogram 1,39.688,4857.42,6374.2,8885.3,annotations,1.3880000000001471,1676.873,2511.1,67407878.170710095516,train
1,280,0.105,4470.519,Spectrogram 1,71.428399024,5391.007,4384.1,7778.2,annotations,0.1049999999995634,4470.624,3394.1,67407878.170710005518,train
1,281,0.191,4472.425,Spectrogram 1,71.428399024,5391.007,4101.2,23475.9,annotations,0.1909999999998035,4472.616,19374.7,67407878.170710005518,train
0,2,0.218,209.839,Spectrogram 1,209.788,1601.908,1363.7,10354.1,annotations,102.14,311.979,8990.4,67407878.170714085714,train
