Selection,View,Channel,Start_DateTime_ISO8601,End_DateTime_ISO8601,Low.Freq..Hz.,High.Freq..Hz.,Species,Detection_Comments,filename,begin_time,end_time,call_length,label
12,Spectrogram 1,1,2009-03-28T00:10:36-05:00,2009-03-28T00:10:39-05:00,83.3,239.9,RIWH,,NOPP6_EST_20090328_000000_CH10,634,636,2,0
12,Spectrogram 1,1,2009-03-28T00:10:36-05:00,2009-03-28T00:10:39-05:00,83.3,239.9,RIWH,,NOPP6_EST_20090328_000000_CH10,636,639,3,1
13,Spectrogram 1,1,2009-03-28T00:10:40-05:00,2009-03-28T00:10:44-05:00,88.4,247.5,RIWH,,NOPP6_EST_20090328_000000_CH10,639,640,1,0
13,Spectrogram 1,1,2009-03-28T00:10:40-05:00,2009-03-28T00:10:44-05:00,88.4,247.5,RIWH,,NOPP6_EST_20090328_000000_CH10,640,644,4,1
14,Spectrogram 1,1,2009-03-28T00:10:45-05:00,2009-03-28T00:10:47-05:00,118.7,250.0,RIWH,,NOPP6_EST_20090328_000000_CH10,644,645,1,0
14,Spectrogram 1,1,2009-03-28T00:10:45-05:00,2009-03-28T00:10:47-05:00,118.7,250.0,RIWH,,NOPP6_EST_20090328_000000_CH10,645,647,2,1
15,Spectrogram 1,1,2009-03-28T00:10:53-05:00,2009-03-28T00:10:56-05:00,83.3,275.3,RIWH,,NOPP6_EST_20090328_000000_CH10,647,653,6,0
15,Spectrogram 1,1,2009-03-28T00:10:53-05:00,2009-03-28T00:10:56-05:00,83.3,275.3,RIWH,,NOPP6_EST_20090328_000000_CH10,653,656,3,1
16,Spectrogram 1,1,2009-03-28T00:11:12-05:00,2009-03-28T00:11:14-05:00,80.8,202.0,RIWH,,NOPP6_EST_20090328_000000_CH10,656,672,16,0
16,Spectrogram 1,1,2009-03-28T00:11:12-05:00,2009-03-28T00:11:14-05:00,80.8,202.0,RIWH,,NOPP6_EST_20090328_000000_CH10,672,674,2,1
629,Spectrogram 1,1,2009-03-28T00:11:52-05:00,2009-03-28T00:11:54-05:00,82.1,234.3,RIWH,,NOPP6_EST_20090328_000000_CH10,674,712,38,0
629,Spectrogram 1,1,2009-03-28T00:11:52-05:00,2009-03-28T00:11:54-05:00,82.1,234.3,RIWH,,NOPP6_EST_20090328_000000_CH10,712,714,2,1
17,Spectrogram 1,1,2009-03-28T00:12:14-05:00,2009-03-28T00:12:17-05:00,78.3,179.3,RIWH,,NOPP6_EST_20090328_000000_CH10,714,734,20,0
17,Spectrogram 1,1,2009-03-28T00:12:14-05:00,2009-03-28T00:12:17-05:00,78.3,179.3,RIWH,,NOPP6_EST_20090328_000000_CH10,734,737,3,1
18,Spectrogram 1,1,2009-03-28T00:12:29-05:00,2009-03-28T00:12:31-05:00,85.9,199.5,RIWH,,NOPP6_EST_20090328_000000_CH10,737,749,12,0
18,Spectrogram 1,1,2009-03-28T00:12:29-05:00,2009-03-28T00:12:31-05:00,85.9,199.5,RIWH,,NOPP6_EST_20090328_000000_CH10,749,751,2,1
19,Spectrogram 1,1,2009-03-28T00:14:17-05:00,2009-03-28T00:14:21-05:00,85.9,262.6,RIWH,,NOPP6_EST_20090328_000000_CH10,751,857,106,0
19,Spectrogram 1,1,2009-03-28T00:14:17-05:00,2009-03-28T00:14:21-05:00,85.9,262.6,RIWH,,NOPP6_EST_20090328_000000_CH10,857,861,4,1
20,Spectrogram 1,1,2009-03-28T00:14:50-05:00,2009-03-28T00:14:52-05:00,83.3,232.3,RIWH,,NOPP6_EST_20090328_000000_CH10,861,890,29,0
20,Spectrogram 1,1,2009-03-28T00:14:50-05:00,2009-03-28T00:14:52-05:00,83.3,232.3,RIWH,,NOPP6_EST_20090328_000000_CH10,890,892,2,1
21,Spectrogram 1,1,2009-03-28T00:14:54-05:00,2009-03-28T00:14:57-05:00,88.4,252.5,RIWH,,NOPP6_EST_20090328_000000_CH10,892,894,2,0
21,Spectrogram 1,1,2009-03-28T00:14:54-05:00,2009-03-28T00:14:57-05:00,88.4,252.5,RIWH,,NOPP6_EST_20090328_000000_CH10,894,897,3,1
22,Spectrogram 1,1,2009-03-28T00:15:37-05:00,2009-03-28T00:15:40-05:00,116.2,262.6,RIWH,,NOPP6_EST_20090328_001500_CH10,37,40,3,1
23,Spectrogram 1,1,2009-03-28T00:15:55-05:00,2009-03-28T00:15:56-05:00,156.6,260.1,RIWH,,NOPP6_EST_20090328_001500_CH10,40,55,15,0
23,Spectrogram 1,1,2009-03-28T00:15:55-05:00,2009-03-28T00:15:56-05:00,156.6,260.1,RIWH,,NOPP6_EST_20090328_001500_CH10,55,56,1,1
24,Spectrogram 1,1,2009-03-28T00:16:54-05:00,2009-03-28T00:16:56-05:00,88.4,282.8,RIWH,,NOPP6_EST_20090328_001500_CH10,56,114,58,0
24,Spectrogram 1,1,2009-03-28T00:16:54-05:00,2009-03-28T00:16:56-05:00,88.4,282.8,RIWH,,NOPP6_EST_20090328_001500_CH10,114,116,2,1
25,Spectrogram 1,1,2009-03-28T00:17:41-05:00,2009-03-28T00:17:43-05:00,133.8,292.9,RIWH,,NOPP6_EST_20090328_001500_CH10,116,161,45,0
25,Spectrogram 1,1,2009-03-28T00:17:41-05:00,2009-03-28T00:17:43-05:00,133.8,292.9,RIWH,,NOPP6_EST_20090328_001500_CH10,161,163,2,1
26,Spectrogram 1,1,2009-03-28T00:19:22-05:00,2009-03-28T00:19:24-05:00,85.9,212.1,RIWH,,NOPP6_EST_20090328_001500_CH10,163,262,99,0
26,Spectrogram 1,1,2009-03-28T00:19:22-05:00,2009-03-28T00:19:24-05:00,85.9,212.1,RIWH,,NOPP6_EST_20090328_001500_CH10,262,264,2,1
27,Spectrogram 1,1,2009-03-28T00:19:30-05:00,2009-03-28T00:19:33-05:00,58.1,202.0,RIWH,,NOPP6_EST_20090328_001500_CH10,264,270,6,0
27,Spectrogram 1,1,2009-03-28T00:19:30-05:00,2009-03-28T00:19:33-05:00,58.1,202.0,RIWH,,NOPP6_EST_20090328_001500_CH10,270,273,3,1
28,Spectrogram 1,1,2009-03-28T00:20:23-05:00,2009-03-28T00:20:26-05:00,103.5,229.8,RIWH,,NOPP6_EST_20090328_001500_CH10,273,323,50,0
28,Spectrogram 1,1,2009-03-28T00:20:23-05:00,2009-03-28T00:20:26-05:00,103.5,229.8,RIWH,,NOPP6_EST_20090328_001500_CH10,323,326,3,1
29,Spectrogram 1,1,2009-03-28T00:21:08-05:00,2009-03-28T00:21:10-05:00,108.6,176.8,RIWH,,NOPP6_EST_20090328_001500_CH10,326,368,42,0
29,Spectrogram 1,1,2009-03-28T00:21:08-05:00,2009-03-28T00:21:10-05:00,108.6,176.8,RIWH,,NOPP6_EST_20090328_001500_CH10,368,370,2,1
30,Spectrogram 1,1,2009-03-28T00:21:27-05:00,2009-03-28T00:21:30-05:00,70.7,262.6,RIWH,,NOPP6_EST_20090328_001500_CH10,370,387,17,0
30,Spectrogram 1,1,2009-03-28T00:21:27-05:00,2009-03-28T00:21:30-05:00,70.7,262.6,RIWH,,NOPP6_EST_20090328_001500_CH10,387,390,3,1
31,Spectrogram 1,1,2009-03-28T00:21:33-05:00,2009-03-28T00:21:36-05:00,80.8,247.5,RIWH,,NOPP6_EST_20090328_001500_CH10,390,393,3,0
31,Spectrogram 1,1,2009-03-28T00:21:33-05:00,2009-03-28T00:21:36-05:00,80.8,247.5,RIWH,,NOPP6_EST_20090328_001500_CH10,393,396,3,1
32,Spectrogram 1,1,2009-03-28T00:21:39-05:00,2009-03-28T00:21:41-05:00,80.8,244.9,RIWH,,NOPP6_EST_20090328_001500_CH10,396,399,3,0
32,Spectrogram 1,1,2009-03-28T00:21:39-05:00,2009-03-28T00:21:41-05:00,80.8,244.9,RIWH,,NOPP6_EST_20090328_001500_CH10,399,401,2,1
33,Spectrogram 1,1,2009-03-28T00:21:55-05:00,2009-03-28T00:21:58-05:00,80.8,202.0,RIWH,,NOPP6_EST_20090328_001500_CH10,401,415,14,0
33,Spectrogram 1,1,2009-03-28T00:21:55-05:00,2009-03-28T00:21:58-05:00,80.8,202.0,RIWH,,NOPP6_EST_20090328_001500_CH10,415,418,3,1
34,Spectrogram 1,1,2009-03-28T00:22:27-05:00,2009-03-28T00:22:29-05:00,103.5,242.4,RIWH,,NOPP6_EST_20090328_001500_CH10,418,447,29,0
34,Spectrogram 1,1,2009-03-28T00:22:27-05:00,2009-03-28T00:22:29-05:00,103.5,242.4,RIWH,,NOPP6_EST_20090328_001500_CH10,447,449,2,1
35,Spectrogram 1,1,2009-03-28T00:22:48-05:00,2009-03-28T00:22:51-05:00,80.8,250.0,RIWH,,NOPP6_EST_20090328_001500_CH10,449,468,19,0
35,Spectrogram 1,1,2009-03-28T00:22:48-05:00,2009-03-28T00:22:51-05:00,80.8,250.0,RIWH,,NOPP6_EST_20090328_001500_CH10,468,471,3,1
36,Spectrogram 1,1,2009-03-28T00:22:53-05:00,2009-03-28T00:22:55-05:00,83.3,318.2,RIWH,,NOPP6_EST_20090328_001500_CH10,471,473,2,0
36,Spectrogram 1,1,2009-03-28T00:22:53-05:00,2009-03-28T00:22:55-05:00,83.3,318.2,RIWH,,NOPP6_EST_20090328_001500_CH10,473,475,2,1
37,Spectrogram 1,1,2009-03-28T00:22:58-05:00,2009-03-28T00:23:01-05:00,88.4,224.7,RIWH,,NOPP6_EST_20090328_001500_CH10,475,478,3,0
37,Spectrogram 1,1,2009-03-28T00:22:58-05:00,2009-03-28T00:23:01-05:00,88.4,224.7,RIWH,,NOPP6_EST_20090328_001500_CH10,478,481,3,1
38,Spectrogram 1,1,2009-03-28T00:23:04-05:00,2009-03-28T00:23:06-05:00,85.9,197.0,RIWH,,NOPP6_EST_20090328_001500_CH10,481,484,3,0
38,Spectrogram 1,1,2009-03-28T00:23:04-05:00,2009-03-28T00:23:06-05:00,85.9,197.0,RIWH,,NOPP6_EST_20090328_001500_CH10,484,486,2,1
39,Spectrogram 1,1,2009-03-28T00:23:16-05:00,2009-03-28T00:23:19-05:00,83.3,227.3,RIWH,,NOPP6_EST_20090328_001500_CH10,486,496,10,0
39,Spectrogram 1,1,2009-03-28T00:23:16-05:00,2009-03-28T00:23:19-05:00,83.3,227.3,RIWH,,NOPP6_EST_20090328_001500_CH10,496,499,3,1
40,Spectrogram 1,1,2009-03-28T00:23:21-05:00,2009-03-28T00:23:23-05:00,101.0,204.5,RIWH,,NOPP6_EST_20090328_001500_CH10,499,501,2,0
40,Spectrogram 1,1,2009-03-28T00:23:21-05:00,2009-03-28T00:23:23-05:00,101.0,204.5,RIWH,,NOPP6_EST_20090328_001500_CH10,501,503,2,1
41,Spectrogram 1,1,2009-03-28T00:23:24-05:00,2009-03-28T00:23:26-05:00,108.6,222.2,RIWH,,NOPP6_EST_20090328_001500_CH10,503,504,1,0
41,Spectrogram 1,1,2009-03-28T00:23:24-05:00,2009-03-28T00:23:26-05:00,108.6,222.2,RIWH,,NOPP6_EST_20090328_001500_CH10,504,506,2,1
42,Spectrogram 1,1,2009-03-28T00:23:48-05:00,2009-03-28T00:23:50-05:00,98.5,265.2,RIWH,,NOPP6_EST_20090328_001500_CH10,506,528,22,0
42,Spectrogram 1,1,2009-03-28T00:23:48-05:00,2009-03-28T00:23:50-05:00,98.5,265.2,RIWH,,NOPP6_EST_20090328_001500_CH10,528,530,2,1
43,Spectrogram 1,1,2009-03-28T00:24:01-05:00,2009-03-28T00:24:02-05:00,83.3,217.2,RIWH,,NOPP6_EST_20090328_001500_CH10,530,541,11,0
43,Spectrogram 1,1,2009-03-28T00:24:01-05:00,2009-03-28T00:24:02-05:00,83.3,217.2,RIWH,,NOPP6_EST_20090328_001500_CH10,541,542,1,1
44,Spectrogram 1,1,2009-03-28T00:24:03-05:00,2009-03-28T00:24:05-05:00,121.2,202.0,RIWH,,NOPP6_EST_20090328_001500_CH10,542,543,1,0
44,Spectrogram 1,1,2009-03-28T00:24:03-05:00,2009-03-28T00:24:05-05:00,121.2,202.0,RIWH,,NOPP6_EST_20090328_001500_CH10,543,545,2,1
45,Spectrogram 1,1,2009-03-28T00:24:22-05:00,2009-03-28T00:24:25-05:00,80.8,260.1,RIWH,,NOPP6_EST_20090328_001500_CH10,545,562,17,0
45,Spectrogram 1,1,2009-03-28T00:24:22-05:00,2009-03-28T00:24:25-05:00,80.8,260.1,RIWH,,NOPP6_EST_20090328_001500_CH10,562,565,3,1
46,Spectrogram 1,1,2009-03-28T00:25:06-05:00,2009-03-28T00:25:09-05:00,88.4,239.9,RIWH,,NOPP6_EST_20090328_001500_CH10,565,606,41,0
46,Spectrogram 1,1,2009-03-28T00:25:06-05:00,2009-03-28T00:25:09-05:00,88.4,239.9,RIWH,,NOPP6_EST_20090328_001500_CH10,606,609,3,1
47,Spectrogram 1,1,2009-03-28T00:25:23-05:00,2009-03-28T00:25:27-05:00,83.3,252.5,RIWH,,NOPP6_EST_20090328_001500_CH10,609,623,14,0
47,Spectrogram 1,1,2009-03-28T00:25:23-05:00,2009-03-28T00:25:27-05:00,83.3,252.5,RIWH,,NOPP6_EST_20090328_001500_CH10,623,627,4,1
48,Spectrogram 1,1,2009-03-28T00:25:47-05:00,2009-03-28T00:25:50-05:00,75.8,295.5,RIWH,,NOPP6_EST_20090328_001500_CH10,627,647,20,0
48,Spectrogram 1,1,2009-03-28T00:25:47-05:00,2009-03-28T00:25:50-05:00,75.8,295.5,RIWH,,NOPP6_EST_20090328_001500_CH10,647,650,3,1
630,Spectrogram 1,1,2009-03-28T00:27:28-05:00,2009-03-28T00:27:30-05:00,94.2,173.9,RIWH,,NOPP6_EST_20090328_001500_CH10,650,748,98,0
630,Spectrogram 1,1,2009-03-28T00:27:28-05:00,2009-03-28T00:27:30-05:00,94.2,173.9,RIWH,,NOPP6_EST_20090328_001500_CH10,748,750,2,1
49,Spectrogram 1,1,2009-03-28T00:28:15-05:00,2009-03-28T00:28:18-05:00,101.0,237.4,RIWH,,NOPP6_EST_20090328_001500_CH10,750,795,45,0
49,Spectrogram 1,1,2009-03-28T00:28:15-05:00,2009-03-28T00:28:18-05:00,101.0,237.4,RIWH,,NOPP6_EST_20090328_001500_CH10,795,798,3,1
50,Spectrogram 1,1,2009-03-28T00:30:55-05:00,2009-03-28T00:30:57-05:00,126.3,242.4,RIWH,,NOPP6_EST_20090328_003000_CH10,55,57,2,1
51,Spectrogram 1,1,2009-03-28T00:32:29-05:00,2009-03-28T00:32:31-05:00,96.0,224.7,RIWH,,NOPP6_EST_20090328_003000_CH10,57,149,92,0
51,Spectrogram 1,1,2009-03-28T00:32:29-05:00,2009-03-28T00:32:31-05:00,96.0,224.7,RIWH,,NOPP6_EST_20090328_003000_CH10,149,151,2,1
52,Spectrogram 1,1,2009-03-28T00:32:48-05:00,2009-03-28T00:32:50-05:00,90.9,186.9,RIWH,,NOPP6_EST_20090328_003000_CH10,151,168,17,0
52,Spectrogram 1,1,2009-03-28T00:32:48-05:00,2009-03-28T00:32:50-05:00,90.9,186.9,RIWH,,NOPP6_EST_20090328_003000_CH10,168,170,2,1
53,Spectrogram 1,1,2009-03-28T00:33:53-05:00,2009-03-28T00:33:55-05:00,143.9,232.3,RIWH,,NOPP6_EST_20090328_003000_CH10,170,233,63,0
53,Spectrogram 1,1,2009-03-28T00:33:53-05:00,2009-03-28T00:33:55-05:00,143.9,232.3,RIWH,,NOPP6_EST_20090328_003000_CH10,233,235,2,1
54,Spectrogram 1,1,2009-03-28T00:38:18-05:00,2009-03-28T00:38:20-05:00,83.3,138.9,RIWH,,NOPP6_EST_20090328_003000_CH10,235,498,263,0
54,Spectrogram 1,1,2009-03-28T00:38:18-05:00,2009-03-28T00:38:20-05:00,83.3,138.9,RIWH,,NOPP6_EST_20090328_003000_CH10,498,500,2,1
55,Spectrogram 1,1,2009-03-28T00:39:12-05:00,2009-03-28T00:39:14-05:00,96.0,133.8,RIWH,,NOPP6_EST_20090328_003000_CH10,500,552,52,0
55,Spectrogram 1,1,2009-03-28T00:39:12-05:00,2009-03-28T00:39:14-05:00,96.0,133.8,RIWH,,NOPP6_EST_20090328_003000_CH10,552,554,2,1
56,Spectrogram 1,1,2009-03-28T00:40:32-05:00,2009-03-28T00:40:34-05:00,136.4,197.0,RIWH,,NOPP6_EST_20090328_003000_CH10,554,632,78,0
56,Spectrogram 1,1,2009-03-28T00:40:32-05:00,2009-03-28T00:40:34-05:00,136.4,197.0,RIWH,,NOPP6_EST_20090328_003000_CH10,632,634,2,1
965,Spectrogram 1,1,2009-03-28T00:40:40-05:00,2009-03-28T00:40:41-05:00,55.3,225.8,RIWH,,NOPP6_EST_20090328_003000_CH10,634,640,6,0
965,Spectrogram 1,1,2009-03-28T00:40:40-05:00,2009-03-28T00:40:41-05:00,55.3,225.8,RIWH,,NOPP6_EST_20090328_003000_CH10,640,641,1,1
57,Spectrogram 1,1,2009-03-28T00:41:10-05:00,2009-03-28T00:41:11-05:00,73.2,121.2,RIWH,,NOPP6_EST_20090328_003000_CH10,641,670,29,0
57,Spectrogram 1,1,2009-03-28T00:41:10-05:00,2009-03-28T00:41:11-05:00,73.2,121.2,RIWH,,NOPP6_EST_20090328_003000_CH10,670,671,1,1
58,Spectrogram 1,1,2009-03-28T00:42:06-05:00,2009-03-28T00:42:08-05:00,80.8,217.2,RIWH,,NOPP6_EST_20090328_003000_CH10,671,726,55,0
58,Spectrogram 1,1,2009-03-28T00:42:06-05:00,2009-03-28T00:42:08-05:00,80.8,217.2,RIWH,,NOPP6_EST_20090328_003000_CH10,726,728,2,1
62,Spectrogram 1,1,2009-03-28T00:43:25-05:00,2009-03-28T00:43:27-05:00,98.5,146.5,RIWH,,NOPP6_EST_20090328_003000_CH10,728,805,77,0
62,Spectrogram 1,1,2009-03-28T00:43:25-05:00,2009-03-28T00:43:27-05:00,98.5,146.5,RIWH,,NOPP6_EST_20090328_003000_CH10,805,807,2,1
59,Spectrogram 1,1,2009-03-28T00:43:42-05:00,2009-03-28T00:43:46-05:00,98.5,277.8,RIWH,,NOPP6_EST_20090328_003000_CH10,807,822,15,0
59,Spectrogram 1,1,2009-03-28T00:43:42-05:00,2009-03-28T00:43:46-05:00,98.5,277.8,RIWH,,NOPP6_EST_20090328_003000_CH10,822,826,4,1
60,Spectrogram 1,1,2009-03-28T00:43:47-05:00,2009-03-28T00:43:50-05:00,88.4,202.0,RIWH,,NOPP6_EST_20090328_003000_CH10,826,827,1,0
60,Spectrogram 1,1,2009-03-28T00:43:47-05:00,2009-03-28T00:43:50-05:00,88.4,202.0,RIWH,,NOPP6_EST_20090328_003000_CH10,827,830,3,1
63,Spectrogram 1,1,2009-03-28T00:44:18-05:00,2009-03-28T00:44:20-05:00,80.8,164.1,RIWH,,NOPP6_EST_20090328_003000_CH10,830,858,28,0
63,Spectrogram 1,1,2009-03-28T00:44:18-05:00,2009-03-28T00:44:20-05:00,80.8,164.1,RIWH,,NOPP6_EST_20090328_003000_CH10,858,860,2,1
64,Spectrogram 1,1,2009-03-28T00:45:57-05:00,2009-03-28T00:45:59-05:00,75.8,146.5,RIWH,,NOPP6_EST_20090328_004500_CH10,57,59,2,1
65,Spectrogram 1,1,2009-03-28T00:46:05-05:00,2009-03-28T00:46:07-05:00,80.8,159.1,RIWH,,NOPP6_EST_20090328_004500_CH10,59,65,6,0
65,Spectrogram 1,1,2009-03-28T00:46:05-05:00,2009-03-28T00:46:07-05:00,80.8,159.1,RIWH,,NOPP6_EST_20090328_004500_CH10,65,67,2,1
66,Spectrogram 1,1,2009-03-28T00:46:54-05:00,2009-03-28T00:46:58-05:00,88.4,199.5,RIWH,,NOPP6_EST_20090328_004500_CH10,67,114,47,0
66,Spectrogram 1,1,2009-03-28T00:46:54-05:00,2009-03-28T00:46:58-05:00,88.4,199.5,RIWH,,NOPP6_EST_20090328_004500_CH10,114,118,4,1
67,Spectrogram 1,1,2009-03-28T00:48:14-05:00,2009-03-28T00:48:16-05:00,93.4,138.9,RIWH,,NOPP6_EST_20090328_004500_CH10,118,194,76,0
67,Spectrogram 1,1,2009-03-28T00:48:14-05:00,2009-03-28T00:48:16-05:00,93.4,138.9,RIWH,,NOPP6_EST_20090328_004500_CH10,194,196,2,1
68,Spectrogram 1,1,2009-03-28T00:52:15-05:00,2009-03-28T00:52:17-05:00,90.9,214.6,RIWH,,NOPP6_EST_20090328_004500_CH10,196,435,239,0
68,Spectrogram 1,1,2009-03-28T00:52:15-05:00,2009-03-28T00:52:17-05:00,90.9,214.6,RIWH,,NOPP6_EST_20090328_004500_CH10,435,437,2,1
69,Spectrogram 1,1,2009-03-28T00:52:49-05:00,2009-03-28T00:52:52-05:00,103.5,212.1,RIWH,,NOPP6_EST_20090328_004500_CH10,437,469,32,0
69,Spectrogram 1,1,2009-03-28T00:52:49-05:00,2009-03-28T00:52:52-05:00,103.5,212.1,RIWH,,NOPP6_EST_20090328_004500_CH10,469,472,3,1
70,Spectrogram 1,1,2009-03-28T00:52:54-05:00,2009-03-28T00:52:57-05:00,98.5,234.8,RIWH,,NOPP6_EST_20090328_004500_CH10,472,474,2,0
70,Spectrogram 1,1,2009-03-28T00:52:54-05:00,2009-03-28T00:52:57-05:00,98.5,234.8,RIWH,,NOPP6_EST_20090328_004500_CH10,474,477,3,1
71,Spectrogram 1,1,2009-03-28T00:53:55-05:00,2009-03-28T00:53:57-05:00,93.4,229.8,RIWH,,NOPP6_EST_20090328_004500_CH10,477,535,58,0
71,Spectrogram 1,1,2009-03-28T00:53:55-05:00,2009-03-28T00:53:57-05:00,93.4,229.8,RIWH,,NOPP6_EST_20090328_004500_CH10,535,537,2,1
72,Spectrogram 1,1,2009-03-28T00:54:01-05:00,2009-03-28T00:54:02-05:00,106.1,169.2,RIWH,,NOPP6_EST_20090328_004500_CH10,537,541,4,0
72,Spectrogram 1,1,2009-03-28T00:54:01-05:00,2009-03-28T00:54:02-05:00,106.1,169.2,RIWH,,NOPP6_EST_20090328_004500_CH10,541,542,1,1
73,Spectrogram 1,1,2009-03-28T00:54:04-05:00,2009-03-28T00:54:06-05:00,106.1,159.1,RIWH,,NOPP6_EST_20090328_004500_CH10,542,544,2,0
73,Spectrogram 1,1,2009-03-28T00:54:04-05:00,2009-03-28T00:54:06-05:00,106.1,159.1,RIWH,,NOPP6_EST_20090328_004500_CH10,544,546,2,1
74,Spectrogram 1,1,2009-03-28T00:54:17-05:00,2009-03-28T00:54:18-05:00,106.1,234.8,RIWH,,NOPP6_EST_20090328_004500_CH10,546,557,11,0
74,Spectrogram 1,1,2009-03-28T00:54:17-05:00,2009-03-28T00:54:18-05:00,106.1,234.8,RIWH,,NOPP6_EST_20090328_004500_CH10,557,558,1,1
75,Spectrogram 1,1,2009-03-28T00:54:26-05:00,2009-03-28T00:54:28-05:00,101.0,214.6,RIWH,,NOPP6_EST_20090328_004500_CH10,558,566,8,0
75,Spectrogram 1,1,2009-03-28T00:54:26-05:00,2009-03-28T00:54:28-05:00,101.0,214.6,RIWH,,NOPP6_EST_20090328_004500_CH10,566,568,2,1
76,Spectrogram 1,1,2009-03-28T00:54:38-05:00,2009-03-28T00:54:40-05:00,78.3,159.1,RIWH,,NOPP6_EST_20090328_004500_CH10,568,578,10,0
76,Spectrogram 1,1,2009-03-28T00:54:38-05:00,2009-03-28T00:54:40-05:00,78.3,159.1,RIWH,,NOPP6_EST_20090328_004500_CH10,578,583,5,1
78,Spectrogram 1,1,2009-03-28T00:54:58-05:00,2009-03-28T00:55:01-05:00,80.8,141.4,RIWH,,NOPP6_EST_20090328_004500_CH10,583,598,15,0
78,Spectrogram 1,1,2009-03-28T00:54:58-05:00,2009-03-28T00:55:01-05:00,80.8,141.4,RIWH,,NOPP6_EST_20090328_004500_CH10,598,601,3,1
79,Spectrogram 1,1,2009-03-28T00:55:13-05:00,2009-03-28T00:55:15-05:00,101.0,232.3,RIWH,,NOPP6_EST_20090328_004500_CH10,601,613,12,0
79,Spectrogram 1,1,2009-03-28T00:55:13-05:00,2009-03-28T00:55:15-05:00,101.0,232.3,RIWH,,NOPP6_EST_20090328_004500_CH10,613,615,2,1
80,Spectrogram 1,1,2009-03-28T00:55:18-05:00,2009-03-28T00:55:20-05:00,101.0,156.6,RIWH,,NOPP6_EST_20090328_004500_CH10,615,618,3,0
