,Selection,View,Channel,Start_DateTime_ISO8601,End_DateTime_ISO8601,Low.Freq..Hz.,High.Freq..Hz.,Species,Detection_Comments,filename,begin_time,end_time,call_length
68,70,Spectrogram 1,1,2009-03-28T00:52:54-05:00,2009-03-28T00:52:57-05:00,98.5,234.8,RIWH,,NOPP6_EST_20090328_004500_CH10,474,477,3
69,71,Spectrogram 1,1,2009-03-28T00:53:55-05:00,2009-03-28T00:53:57-05:00,93.4,229.8,RIWH,,NOPP6_EST_20090328_004500_CH10,535,537,2
70,72,Spectrogram 1,1,2009-03-28T00:54:01-05:00,2009-03-28T00:54:02-05:00,106.1,169.2,RIWH,,NOPP6_EST_20090328_004500_CH10,541,542,1
71,73,Spectrogram 1,1,2009-03-28T00:54:04-05:00,2009-03-28T00:54:06-05:00,106.1,159.1,RIWH,,NOPP6_EST_20090328_004500_CH10,544,546,2
72,74,Spectrogram 1,1,2009-03-28T00:54:17-05:00,2009-03-28T00:54:18-05:00,106.1,234.8,RIWH,,NOPP6_EST_20090328_004500_CH10,557,558,1
73,75,Spectrogram 1,1,2009-03-28T00:54:26-05:00,2009-03-28T00:54:28-05:00,101.0,214.6,RIWH,,NOPP6_EST_20090328_004500_CH10,566,568,2
74,76,Spectrogram 1,1,2009-03-28T00:54:38-05:00,2009-03-28T00:54:40-05:00,78.3,159.1,RIWH,,NOPP6_EST_20090328_004500_CH10,578,583,5
77,79,Spectrogram 1,1,2009-03-28T00:55:13-05:00,2009-03-28T00:55:15-05:00,101.0,232.3,RIWH,,NOPP6_EST_20090328_004500_CH10,613,615,2
78,80,Spectrogram 1,1,2009-03-28T00:55:18-05:00,2009-03-28T00:55:20-05:00,101.0,156.6,RIWH,,NOPP6_EST_20090328_004500_CH10,618,620,2
79,81,Spectrogram 1,1,2009-03-28T00:56:00-05:00,2009-03-28T00:56:03-05:00,90.9,227.3,RIWH,,NOPP6_EST_20090328_004500_CH10,660,663,3
80,82,Spectrogram 1,1,2009-03-28T00:56:10-05:00,2009-03-28T00:56:13-05:00,98.5,204.5,RIWH,,NOPP6_EST_20090328_004500_CH10,670,673,3
81,83,Spectrogram 1,1,2009-03-28T00:56:14-05:00,2009-03-28T00:56:17-05:00,116.2,199.5,RIWH,,NOPP6_EST_20090328_004500_CH10,674,679,5
83,85,Spectrogram 1,1,2009-03-28T00:56:30-05:00,2009-03-28T00:56:32-05:00,98.5,250.0,RIWH,,NOPP6_EST_20090328_004500_CH10,690,692,2
85,87,Spectrogram 1,1,2009-03-28T00:57:07-05:00,2009-03-28T00:57:10-05:00,90.9,194.4,RIWH,,NOPP6_EST_20090328_004500_CH10,727,730,3
86,88,Spectrogram 1,1,2009-03-28T00:57:35-05:00,2009-03-28T00:57:38-05:00,80.8,202.0,RIWH,,NOPP6_EST_20090328_004500_CH10,755,758,3
88,90,Spectrogram 1,1,2009-03-28T00:57:48-05:00,2009-03-28T00:57:50-05:00,78.3,156.6,RIWH,,NOPP6_EST_20090328_004500_CH10,768,770,2
89,91,Spectrogram 1,1,2009-03-28T00:58:01-05:00,2009-03-28T00:58:04-05:00,80.8,219.7,RIWH,,NOPP6_EST_20090328_004500_CH10,781,784,3
90,92,Spectrogram 1,1,2009-03-28T00:58:17-05:00,2009-03-28T00:58:19-05:00,101.0,202.0,RIWH,,NOPP6_EST_20090328_004500_CH10,797,799,2
91,93,Spectrogram 1,1,2009-03-28T00:58:27-05:00,2009-03-28T00:58:30-05:00,98.5,250.0,RIWH,,NOPP6_EST_20090328_004500_CH10,807,810,3
92,94,Spectrogram 1,1,2009-03-28T00:58:34-05:00,2009-03-28T00:58:36-05:00,103.5,174.2,RIWH,,NOPP6_EST_20090328_004500_CH10,814,816,2
93,95,Spectrogram 1,1,2009-03-28T00:58:38-05:00,2009-03-28T00:58:40-05:00,106.1,191.9,RIWH,,NOPP6_EST_20090328_004500_CH10,818,820,2
94,96,Spectrogram 1,1,2009-03-28T00:58:55-05:00,2009-03-28T00:58:58-05:00,88.4,181.8,RIWH,,NOPP6_EST_20090328_004500_CH10,835,838,3
95,97,Spectrogram 1,1,2009-03-28T00:59:03-05:00,2009-03-28T00:59:06-05:00,85.9,250.0,RIWH,,NOPP6_EST_20090328_004500_CH10,843,846,3
96,98,Spectrogram 1,1,2009-03-28T00:59:10-05:00,2009-03-28T00:59:12-05:00,80.8,217.2,RIWH,,NOPP6_EST_20090328_004500_CH10,850,852,2
97,99,Spectrogram 1,1,2009-03-28T00:59:14-05:00,2009-03-28T00:59:17-05:00,80.8,227.3,RIWH,,NOPP6_EST_20090328_004500_CH10,854,859,5
99,101,Spectrogram 1,1,2009-03-28T00:59:55-05:00,2009-03-28T00:59:57-05:00,80.8,197.0,RIWH,,NOPP6_EST_20090328_004500_CH10,895,897,2
623,628,Spectrogram 1,1,2009-03-28T00:59:59-05:00,2009-03-28T01:00:01-05:00,77.1,253.4,RIWH,,NOPP6_EST_20090328_004500_CH10,899,900,1
8666,628,Spectrogram 1,1,2009-03-28T00:59:59-05:00,2009-03-28T01:00:01-05:00,77.1,253.4,RIWH,,NOPP6_EST_20090328_010000_CH10,0,1,1
100,102,Spectrogram 1,1,2009-03-28T01:00:10-05:00,2009-03-28T01:00:12-05:00,88.4,154.0,RIWH,,NOPP6_EST_20090328_010000_CH10,10,12,2
101,103,Spectrogram 1,1,2009-03-28T01:00:30-05:00,2009-03-28T01:00:32-05:00,118.7,227.3,RIWH,,NOPP6_EST_20090328_010000_CH10,30,32,2
103,105,Spectrogram 1,1,2009-03-28T01:02:22-05:00,2009-03-28T01:02:25-05:00,96.0,234.8,RIWH,,NOPP6_EST_20090328_010000_CH10,142,145,3
106,108,Spectrogram 1,1,2009-03-28T01:15:56-05:00,2009-03-28T01:15:58-05:00,113.6,194.4,RIWH,,NOPP6_EST_20090328_011500_CH10,56,58,2
108,110,Spectrogram 1,1,2009-03-28T01:24:46-05:00,2009-03-28T01:24:49-05:00,93.4,181.8,RIWH,,NOPP6_EST_20090328_011500_CH10,586,589,3
109,111,Spectrogram 1,1,2009-03-28T01:25:11-05:00,2009-03-28T01:25:13-05:00,128.8,207.1,RIWH,,NOPP6_EST_20090328_011500_CH10,611,613,2
110,112,Spectrogram 1,1,2009-03-28T01:25:23-05:00,2009-03-28T01:25:24-05:00,111.1,224.7,RIWH,,NOPP6_EST_20090328_011500_CH10,623,624,1
111,113,Spectrogram 1,1,2009-03-28T01:25:25-05:00,2009-03-28T01:25:26-05:00,113.6,222.2,RIWH,,NOPP6_EST_20090328_011500_CH10,625,626,1
112,114,Spectrogram 1,1,2009-03-28T01:25:57-05:00,2009-03-28T01:25:58-05:00,83.3,174.2,RIWH,,NOPP6_EST_20090328_011500_CH10,657,658,1
113,115,Spectrogram 1,1,2009-03-28T01:26:18-05:00,2009-03-28T01:26:20-05:00,88.4,181.8,RIWH,,NOPP6_EST_20090328_011500_CH10,678,680,2
114,116,Spectrogram 1,1,2009-03-28T01:26:47-05:00,2009-03-28T01:26:50-05:00,85.9,174.2,RIWH,,NOPP6_EST_20090328_011500_CH10,707,710,3
115,117,Spectrogram 1,1,2009-03-28T01:27:24-05:00,2009-03-28T01:27:26-05:00,70.7,197.0,RIWH,,NOPP6_EST_20090328_011500_CH10,744,746,2
116,118,Spectrogram 1,1,2009-03-28T01:27:52-05:00,2009-03-28T01:27:54-05:00,78.3,186.9,RIWH,,NOPP6_EST_20090328_011500_CH10,772,774,2
120,122,Spectrogram 1,1,2009-03-28T01:28:01-05:00,2009-03-28T01:28:03-05:00,98.5,161.6,RIWH,,NOPP6_EST_20090328_011500_CH10,781,783,2
121,123,Spectrogram 1,1,2009-03-28T01:28:16-05:00,2009-03-28T01:28:18-05:00,88.4,146.5,RIWH,,NOPP6_EST_20090328_011500_CH10,796,799,3
123,125,Spectrogram 1,1,2009-03-28T01:28:26-05:00,2009-03-28T01:28:28-05:00,101.0,151.5,RIWH,,NOPP6_EST_20090328_011500_CH10,806,808,2
124,126,Spectrogram 1,1,2009-03-28T01:28:32-05:00,2009-03-28T01:28:34-05:00,96.0,151.5,RIWH,,NOPP6_EST_20090328_011500_CH10,812,814,2
125,127,Spectrogram 1,1,2009-03-28T01:28:39-05:00,2009-03-28T01:28:41-05:00,123.7,176.8,RIWH,,NOPP6_EST_20090328_011500_CH10,819,821,2
126,128,Spectrogram 1,1,2009-03-28T01:28:43-05:00,2009-03-28T01:28:46-05:00,96.0,212.1,RIWH,,NOPP6_EST_20090328_011500_CH10,823,826,3
127,129,Spectrogram 1,1,2009-03-28T01:28:56-05:00,2009-03-28T01:28:58-05:00,78.3,174.2,RIWH,,NOPP6_EST_20090328_011500_CH10,836,841,5
129,131,Spectrogram 1,1,2009-03-28T01:29:25-05:00,2009-03-28T01:29:27-05:00,101.0,184.3,RIWH,,NOPP6_EST_20090328_011500_CH10,865,867,2
130,132,Spectrogram 1,1,2009-03-28T01:29:29-05:00,2009-03-28T01:29:32-05:00,75.8,171.7,RIWH,,NOPP6_EST_20090328_011500_CH10,869,872,3
135,137,Spectrogram 1,1,2009-03-28T01:30:37-05:00,2009-03-28T01:30:39-05:00,75.8,166.7,RIWH,,NOPP6_EST_20090328_013000_CH10,37,39,2
136,138,Spectrogram 1,1,2009-03-28T01:30:49-05:00,2009-03-28T01:30:50-05:00,98.5,164.1,RIWH,,NOPP6_EST_20090328_013000_CH10,49,50,1
138,140,Spectrogram 1,1,2009-03-28T01:31:04-05:00,2009-03-28T01:31:06-05:00,98.5,159.1,RIWH,,NOPP6_EST_20090328_013000_CH10,64,66,2
140,142,Spectrogram 1,1,2009-03-28T01:31:39-05:00,2009-03-28T01:31:41-05:00,90.9,164.1,RIWH,,NOPP6_EST_20090328_013000_CH10,99,101,2
141,143,Spectrogram 1,1,2009-03-28T01:31:49-05:00,2009-03-28T01:31:51-05:00,98.5,164.1,RIWH,,NOPP6_EST_20090328_013000_CH10,109,111,2
142,144,Spectrogram 1,1,2009-03-28T01:31:52-05:00,2009-03-28T01:31:54-05:00,85.9,151.5,RIWH,,NOPP6_EST_20090328_013000_CH10,112,114,2
143,145,Spectrogram 1,1,2009-03-28T01:31:56-05:00,2009-03-28T01:31:58-05:00,90.9,166.7,RIWH,,NOPP6_EST_20090328_013000_CH10,116,118,2
144,146,Spectrogram 1,1,2009-03-28T01:32:02-05:00,2009-03-28T01:32:03-05:00,111.1,169.2,RIWH,,NOPP6_EST_20090328_013000_CH10,122,123,1
145,147,Spectrogram 1,1,2009-03-28T01:32:15-05:00,2009-03-28T01:32:17-05:00,88.4,169.2,RIWH,,NOPP6_EST_20090328_013000_CH10,135,137,2
146,148,Spectrogram 1,1,2009-03-28T01:32:25-05:00,2009-03-28T01:32:28-05:00,88.4,181.8,RIWH,,NOPP6_EST_20090328_013000_CH10,145,148,3
148,150,Spectrogram 1,1,2009-03-28T01:33:19-05:00,2009-03-28T01:33:20-05:00,80.8,128.8,RIWH,,NOPP6_EST_20090328_013000_CH10,199,202,3
150,152,Spectrogram 1,1,2009-03-28T01:33:28-05:00,2009-03-28T01:33:30-05:00,85.9,174.2,RIWH,,NOPP6_EST_20090328_013000_CH10,208,210,2
151,153,Spectrogram 1,1,2009-03-28T01:33:36-05:00,2009-03-28T01:33:38-05:00,78.3,161.6,RIWH,,NOPP6_EST_20090328_013000_CH10,216,221,5
153,155,Spectrogram 1,1,2009-03-28T01:33:51-05:00,2009-03-28T01:33:53-05:00,113.6,179.3,RIWH,,NOPP6_EST_20090328_013000_CH10,231,233,2
154,156,Spectrogram 1,1,2009-03-28T01:34:18-05:00,2009-03-28T01:34:20-05:00,101.0,184.3,RIWH,,NOPP6_EST_20090328_013000_CH10,258,260,2
155,157,Spectrogram 1,1,2009-03-28T01:34:24-05:00,2009-03-28T01:34:27-05:00,75.8,194.4,RIWH,,NOPP6_EST_20090328_013000_CH10,264,267,3
156,158,Spectrogram 1,1,2009-03-28T01:34:33-05:00,2009-03-28T01:34:35-05:00,111.1,209.6,RIWH,,NOPP6_EST_20090328_013000_CH10,273,275,2
157,159,Spectrogram 1,1,2009-03-28T01:34:37-05:00,2009-03-28T01:34:39-05:00,88.4,154.0,RIWH,,NOPP6_EST_20090328_013000_CH10,277,279,2
158,160,Spectrogram 1,1,2009-03-28T01:34:54-05:00,2009-03-28T01:34:56-05:00,126.3,202.0,RIWH,,NOPP6_EST_20090328_013000_CH10,294,296,2
159,161,Spectrogram 1,1,2009-03-28T01:35:05-05:00,2009-03-28T01:35:07-05:00,118.7,204.5,RIWH,,NOPP6_EST_20090328_013000_CH10,305,307,2
161,163,Spectrogram 1,1,2009-03-28T01:35:28-05:00,2009-03-28T01:35:31-05:00,116.2,197.0,RIWH,,NOPP6_EST_20090328_013000_CH10,328,331,3
162,164,Spectrogram 1,1,2009-03-28T01:35:46-05:00,2009-03-28T01:35:48-05:00,63.1,151.5,RIWH,,NOPP6_EST_20090328_013000_CH10,346,348,2
163,165,Spectrogram 1,1,2009-03-28T01:36:04-05:00,2009-03-28T01:36:06-05:00,83.3,141.4,RIWH,,NOPP6_EST_20090328_013000_CH10,364,366,2
164,166,Spectrogram 1,1,2009-03-28T01:36:08-05:00,2009-03-28T01:36:11-05:00,93.4,224.7,RIWH,,NOPP6_EST_20090328_013000_CH10,368,371,3
165,167,Spectrogram 1,1,2009-03-28T01:36:13-05:00,2009-03-28T01:36:15-05:00,42.9,234.8,RIWH,,NOPP6_EST_20090328_013000_CH10,373,375,2
166,168,Spectrogram 1,1,2009-03-28T01:36:32-05:00,2009-03-28T01:36:34-05:00,108.6,217.2,RIWH,,NOPP6_EST_20090328_013000_CH10,392,394,2
167,169,Spectrogram 1,1,2009-03-28T01:36:51-05:00,2009-03-28T01:36:53-05:00,113.6,166.7,RIWH,,NOPP6_EST_20090328_013000_CH10,411,413,2
169,171,Spectrogram 1,1,2009-03-28T01:37:06-05:00,2009-03-28T01:37:08-05:00,128.8,209.6,RIWH,,NOPP6_EST_20090328_013000_CH10,426,428,2
168,170,Spectrogram 1,1,2009-03-28T01:37:27-05:00,2009-03-28T01:37:30-05:00,103.5,171.7,RIWH,,NOPP6_EST_20090328_013000_CH10,447,450,3
170,172,Spectrogram 1,1,2009-03-28T01:38:02-05:00,2009-03-28T01:38:04-05:00,78.3,217.2,RIWH,,NOPP6_EST_20090328_013000_CH10,482,484,2
171,173,Spectrogram 1,1,2009-03-28T01:38:27-05:00,2009-03-28T01:38:29-05:00,126.3,262.6,RIWH,,NOPP6_EST_20090328_013000_CH10,507,509,2
172,174,Spectrogram 1,1,2009-03-28T01:39:01-05:00,2009-03-28T01:39:04-05:00,75.8,209.6,RIWH,,NOPP6_EST_20090328_013000_CH10,541,544,3
176,178,Spectrogram 1,1,2009-03-28T01:42:19-05:00,2009-03-28T01:42:21-05:00,83.3,166.7,RIWH,,NOPP6_EST_20090328_013000_CH10,739,741,2
177,179,Spectrogram 1,1,2009-03-28T01:42:29-05:00,2009-03-28T01:42:31-05:00,83.3,179.3,RIWH,,NOPP6_EST_20090328_013000_CH10,749,751,2
178,180,Spectrogram 1,1,2009-03-28T01:42:47-05:00,2009-03-28T01:42:48-05:00,88.4,169.2,RIWH,,NOPP6_EST_20090328_013000_CH10,767,768,1
179,181,Spectrogram 1,1,2009-03-28T01:44:26-05:00,2009-03-28T01:44:28-05:00,103.5,209.6,RIWH,,NOPP6_EST_20090328_013000_CH10,866,868,2
180,182,Spectrogram 1,1,2009-03-28T01:44:46-05:00,2009-03-28T01:44:49-05:00,85.9,169.2,RIWH,,NOPP6_EST_20090328_013000_CH10,886,889,3
181,183,Spectrogram 1,1,2009-03-28T01:44:52-05:00,2009-03-28T01:44:54-05:00,80.8,159.1,RIWH,,NOPP6_EST_20090328_013000_CH10,892,894,2
183,185,Spectrogram 1,1,2009-03-28T01:45:55-05:00,2009-03-28T01:45:57-05:00,118.7,191.9,RIWH,,NOPP6_EST_20090328_014500_CH10,55,57,2
184,186,Spectrogram 1,1,2009-03-28T01:46:45-05:00,2009-03-28T01:46:47-05:00,98.5,212.1,RIWH,,NOPP6_EST_20090328_014500_CH10,105,107,2
186,188,Spectrogram 1,1,2009-03-28T01:50:11-05:00,2009-03-28T01:50:13-05:00,85.4,187.3,RIWH,,NOPP6_EST_20090328_014500_CH10,311,313,2
188,190,Spectrogram 1,1,2009-03-28T01:52:02-05:00,2009-03-28T01:52:04-05:00,101.9,316.8,RIWH,,NOPP6_EST_20090328_014500_CH10,422,424,2
191,193,Spectrogram 1,1,2009-03-28T01:53:04-05:00,2009-03-28T01:53:06-05:00,77.1,192.8,RIWH,,NOPP6_EST_20090328_014500_CH10,484,486,2
192,194,Spectrogram 1,1,2009-03-28T01:53:18-05:00,2009-03-28T01:53:20-05:00,104.7,212.1,RIWH,,NOPP6_EST_20090328_014500_CH10,498,500,2
193,195,Spectrogram 1,1,2009-03-28T01:53:46-05:00,2009-03-28T01:53:48-05:00,112.9,217.6,RIWH,,NOPP6_EST_20090328_014500_CH10,526,528,2
194,196,Spectrogram 1,1,2009-03-28T01:54:13-05:00,2009-03-28T01:54:15-05:00,129.5,253.4,RIWH,,NOPP6_EST_20090328_014500_CH10,553,555,2
195,197,Spectrogram 1,1,2009-03-28T01:54:27-05:00,2009-03-28T01:54:29-05:00,148.8,253.4,RIWH,,NOPP6_EST_20090328_014500_CH10,567,569,2
196,198,Spectrogram 1,1,2009-03-28T01:54:45-05:00,2009-03-28T01:54:46-05:00,101.9,203.9,RIWH,,NOPP6_EST_20090328_014500_CH10,585,586,1
197,199,Spectrogram 1,1,2009-03-28T01:54:52-05:00,2009-03-28T01:54:54-05:00,90.9,162.5,RIWH,,NOPP6_EST_20090328_014500_CH10,592,594,2
198,200,Spectrogram 1,1,2009-03-28T01:55:14-05:00,2009-03-28T01:55:16-05:00,82.6,261.7,RIWH,,NOPP6_EST_20090328_014500_CH10,614,616,2
199,201,Spectrogram 1,1,2009-03-28T01:55:21-05:00,2009-03-28T01:55:23-05:00,110.2,272.7,RIWH,,NOPP6_EST_20090328_014500_CH10,621,623,2
200,202,Spectrogram 1,1,2009-03-28T01:55:44-05:00,2009-03-28T01:55:46-05:00,124.0,278.2,RIWH,,NOPP6_EST_20090328_014500_CH10,644,646,2
201,203,Spectrogram 1,1,2009-03-28T01:56:22-05:00,2009-03-28T01:56:24-05:00,112.9,289.3,RIWH,,NOPP6_EST_20090328_014500_CH10,682,684,2
202,204,Spectrogram 1,1,2009-03-28T01:56:35-05:00,2009-03-28T01:56:38-05:00,96.4,220.4,RIWH,,NOPP6_EST_20090328_014500_CH10,695,698,3
203,205,Spectrogram 1,1,2009-03-28T01:57:13-05:00,2009-03-28T01:57:15-05:00,93.7,187.3,RIWH,,NOPP6_EST_20090328_014500_CH10,733,735,2
