Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
54	Spectrogram 1	1	133.575460549	133.881769662	163.549	477.019	sc
55	Spectrogram 1	1	136.994822260	137.377708650	122.662	442.946	sc
56	Spectrogram 1	1	138.287063827	138.918826372	40.887	374.801	un
57	Spectrogram 1	1	141.022127624	141.328436737	149.920	524.721	sc
58	Spectrogram 1	1	141.993701840	142.390946470	211.251	402.059	sc
60	Spectrogram 1	1	136.259680291	136.446337406	708.714	926.780	sc
61	Spectrogram 1	1	136.570775483	136.704785720	1022.183	1301.580	sc
62	Spectrogram 1	1	136.781362998	136.877084595	1383.355	1642.308	sc
64	Spectrogram 1	1	142.892510834	143.275397224	88.589	572.423	un
65	Spectrogram 1	1	143.883229369	144.553280552	408.873	599.681	un
66	Spectrogram 1	1	144.577210952	144.888306144	470.204	592.866	un
67	Spectrogram 1	1	145.199956713	145.554126624	95.404	688.270	sc
68	Spectrogram 1	1	145.616345662	146.018376372	218.066	374.801	sc
69	Spectrogram 1	1	145.673778621	145.984873813	551.979	715.528	sc
71	Spectrogram 1	1	148.594603019	148.924842530	715.528	988.111	un
72	Spectrogram 1	1	149.417808758	149.944277545	102.218	531.535	sc
73	Spectrogram 1	1	149.604465873	149.748048270	586.052	940.409	un
74	Spectrogram 1	1	152.529239180	153.338086679	95.404	511.092	un
75	Spectrogram 1	1	153.443380437	153.792764268	136.291	531.535	sc
76	Spectrogram 1	1	155.168239705	155.780857930	109.033	327.099	sc
77	Spectrogram 1	1	155.934012486	156.685427027	102.218	245.324	sc
78	Spectrogram 1	1	156.714143506	157.068313417	95.404	647.383	un
79	Spectrogram 1	1	157.618712604	157.982454675	115.847	565.608	sc
80	Spectrogram 1	1	158.102106672	158.513709541	238.509	422.502	un
81	Spectrogram 1	1	162.183204766	162.556518997	136.291	919.965	sc
82	Spectrogram 1	1	162.637882355	163.216998020	218.066	470.204	sc
83	Spectrogram 1	1	163.848760565	164.351298952	88.589	231.695	sc
84	Spectrogram 1	1	164.754418205	165.070299477	88.589	245.324	sc
85	Spectrogram 1	1	166.166311770	166.740641356	551.979	729.158	sc
86	Spectrogram 1	1	167.209677184	167.563847095	129.477	565.608	sc
87	Spectrogram 1	1	169.855273886	170.252518516	115.847	313.470	un
88	Spectrogram 1	1	170.582758028	170.908211460	231.695	354.357	sc
89	Spectrogram 1	1	171.147515454	171.755347598	115.847	558.794	sc
90	Spectrogram 1	1	172.940627493	173.266080925	95.404	252.139	sc
91	Spectrogram 1	1	174.807684679	175.185784990	95.404	572.423	sc
92	Spectrogram 1	1	175.764900655	176.176503525	374.801	490.648	un
93	Spectrogram 1	1	176.515915748	176.989737657	143.106	695.085	sc
94	Spectrogram 1	1	177.559281162	177.808157316	149.920	293.026	sc
95	Spectrogram 1	1	177.937381473	178.377700822	347.542	517.906	un
96	Spectrogram 1	1	178.253262745	178.765373292	68.146	293.026	sc
97	Spectrogram 1	1	179.023899735	179.392427886	68.146	538.350	sc
98	Spectrogram 1	1	179.679592679	180.143842427	74.960	524.721	un
99	Spectrogram 1	1	180.344857782	180.703813773	88.589	272.582	sc
100	Spectrogram 1	1	182.691986498	183.007867770	136.291	933.594	sc
101	Spectrogram 1	1	185.214441621	185.592541932	88.589	306.655	sc
102	Spectrogram 1	1	185.515964654	186.200374077	579.237	722.343	sc
103	Spectrogram 1	1	186.262593115	186.564116147	149.920	817.747	sc
104	Spectrogram 1	1	187.410875963	187.913414350	449.761	572.423	sc
105	Spectrogram 1	1	187.937344749	188.363305859	388.430	579.237	sc
106	Spectrogram 1	1	188.018708107	188.861058166	81.775	340.728	sc
107	Spectrogram 1	1	189.055004016	189.361313129	592.866	763.230	un
108	Spectrogram 1	1	189.279949771	190.122299830	340.728	456.575	un
109	Spectrogram 1	1	189.772915999	189.892567996	558.794	851.820	un
110	Spectrogram 1	1	190.007433913	190.447753262	102.218	661.012	sc
111	Spectrogram 1	1	192.065448261	192.323896575	170.364	756.416	sc
112	Spectrogram 1	1	192.772668805	193.098122237	313.470	490.648	un
113	Spectrogram 1	1	194.165418050	194.500443642	136.291	872.263	sc
114	Spectrogram 1	1	195.371110732	195.763569282	81.775	279.397	sc
115	Spectrogram 1	1	195.409399371	196.108167033	170.364	442.946	sc
116	Spectrogram 1	1	197.194607166	197.524846678	109.033	688.270	sc
117	Spectrogram 1	1	199.048537303	199.536717451	95.404	340.728	un
118	Spectrogram 1	1	199.642011208	200.417356149	367.986	565.608	un
119	Spectrogram 1	1	201.293208767	201.805319314	47.702	667.827	sc
120	Spectrogram 1	1	202.581123652	202.992726521	122.662	279.397	sc
121	Spectrogram 1	1	204.830581195	205.538921018	558.794	749.601	sc
122	Spectrogram 1	1	205.290044864	205.692075574	122.662	892.707	sc
123	Spectrogram 1	1	206.459699763	207.268547263	367.986	551.979	un
124	Spectrogram 1	1	207.957742766	208.785734585	1281.137	1492.388	
125	Spectrogram 1	1	208.900600502	209.221267854	170.364	831.376	sc
126	Spectrogram 1	1	215.878538325	216.529445188	245.324	374.801	un
127	Spectrogram 1	1	215.749314168	216.486370469	674.641	858.634	un
128	Spectrogram 1	1	216.572519907	216.998481017	517.906	647.383	un
129	Spectrogram 1	1	217.926105206	218.251558638	136.291	776.859	sc
130	Spectrogram 1	1	218.165409200	219.069978298	511.092	783.674	sc
131	Spectrogram 1	1	219.385859570	220.022408194	88.589	333.913	sc
132	Spectrogram 1	1	219.452864688	219.936258756	408.873	640.568	un
133	Spectrogram 1	1	221.784298274	222.033174428	143.106	613.310	sc
134	Spectrogram 1	1	224.689448761	225.254206187	558.794	776.859	sc
135	Spectrogram 1	1	224.915543940	226.226929827	8916.068	16929.986	d
136	Spectrogram 1	1	227.042507427	228.684132826	9406.716	17257.085	d
137	Spectrogram 1	1	236.208970335	237.735729817	9134.134	17366.118	d
138	Spectrogram 1	1	247.747458915	248.230852983	8395.533	12375.234	d
139	Spectrogram 1	1	249.087561281	249.728895985	8231.984	13792.662	d
140	Spectrogram 1	1	250.423391137	250.710042361	340.728	14337.826	d
141	Spectrogram 1	1	247.469866282	247.713956356	163.549	14065.244	d
142	Spectrogram 1	1	250.995822905	251.464858734	7632.303	11830.070	d
144	Spectrogram 1	1	228.536249313	228.928707863	1342.468	1471.944	un
145	Spectrogram 1	1	231.309298746	231.740045936	129.477	858.634	d?
146	Spectrogram 1	1	233.519784303	233.907456773	81.775	735.972	d?
147	Spectrogram 1	1	234.906341145	235.078640021	347.542	592.866	un
148	Spectrogram 1	1	235.370590893	235.825268482	238.509	415.688	sc
149	Spectrogram 1	1	235.859785988	236.137378621	504.277	1642.308	d?
150	Spectrogram 1	1	238.865752150	239.124200464	192.745	9328.846	d
151	Spectrogram 1	1	241.803020935	242.147618686	192.745	9444.493	d?
152	Spectrogram 1	1	245.104518037	245.315105552	308.392	9483.042	d
153	Spectrogram 1	1	255.299502152	255.536413107	143.106	7686.819	d
154	Spectrogram 1	1	260.187934853	260.910632915	11884.586	12647.816	d
155	Spectrogram 1	1	260.172118852	260.913961233	3707.119	4470.349	d
156	Spectrogram 1	1	262.031547821	262.816464922	3543.569	4688.415	d
157	Spectrogram 1	1	262.055478221	262.778176283	11830.070	12647.816	d
158	Spectrogram 1	1	263.877590508	264.538069532	3816.151	4415.832	d
159	Spectrogram 1	1	263.935023467	264.638577209	11721.037	12484.267	d
160	Spectrogram 1	1	265.825525020	266.476431883	11775.553	12702.333	d
161	Spectrogram 1	1	267.653395486	268.380879628	11830.070	12593.300	d
162	Spectrogram 1	1	269.534324879	270.137370944	11557.487	12811.366	d
163	Spectrogram 1	1	269.500822320	270.300097660	3652.602	4579.382	d
164	Spectrogram 1	1	271.395211938	271.668018491	11939.102	12647.816	d
165	Spectrogram 1	1	271.758954009	272.165770799	3816.151	4415.832	d
166	Spectrogram 1	1	273.230224399	273.962494621	11939.102	12702.333	d
167	Spectrogram 1	1	275.168586751	275.819493615	11775.553	12865.882	d
168	Spectrogram 1	1	275.115939872	275.498826263	3707.119	4524.865	d
169	Spectrogram 1	1	278.916647183	279.495762849	11721.037	12756.849	d
170	Spectrogram 1	1	277.169728027	277.748843692	3598.086	4633.898	d
171	Spectrogram 1	1	278.863514337	279.653217518	3543.569	4688.415	d
172	Spectrogram 1	1	283.109813209	283.626709836	8286.500	14882.991	d
173	Spectrogram 1	1	283.396978002	283.530988239	2943.888	11066.839	d
174	Spectrogram 1	1	285.208546196	285.907313859	9976.510	14610.408	d
175	Spectrogram 1	1	287.139766387	287.747598532	10467.158	14228.793	d
176	Spectrogram 1	1	288.034763325	288.494226994	12865.882	14610.408	d
177	Spectrogram 1	1	298.312082732	298.527456326	11502.971	14555.892	d
178	Spectrogram 1	1	298.575317125	298.766760321	11230.389	14501.376	d
179	Spectrogram 1	1	298.862481918	299.053925113	10467.158	14882.991	d
180	Spectrogram 1	1	299.096999832	299.278870868	11830.070	15373.639	d
181	Spectrogram 1	1	299.341089906	299.470314063	11612.004	14501.376	d
182	Spectrogram 1	1	300.742513296	301.201976965	11066.839	13792.662	d
183	Spectrogram 1	1	301.417350560	301.800236950	12320.718	13901.695	d
184	Spectrogram 1	1	303.732429075	304.517346175	8013.918	14773.958	d
185	Spectrogram 1	1	306.722344853	307.674774750	9267.796	14828.474	d
186	Spectrogram 1	1	312.733248970	313.451160952	7850.369	13847.178	d
187	Spectrogram 1	1	316.036203973	316.653608278	9485.862	14719.441	d
188	Spectrogram 1	1	325.306502573	326.302007188	6323.908	14119.760	d
189	Spectrogram 1	1	335.642712839	336.604714894	7904.885	14228.793	d
190	Spectrogram 1	1	335.882016833	336.681292173	5615.194	12920.399	d
191	Spectrogram 1	1	338.407682863	339.206958203	8886.181	13629.112	d
192	Spectrogram 1	1	346.546036611	347.273500000	8668.115	14392.343	d
194	Spectrogram 1	1	240.431576796	241.053767181	592.866	810.932	un
195	Spectrogram 1	1	241.144702699	241.604166367	1056.256	1185.733	un
196	Spectrogram 1	1	241.278712935	241.647241086	367.986	470.204	un
198	Spectrogram 1	1	248.015992957	248.700402380	538.350	688.270	sc
199	Spectrogram 1	1	248.733904939	248.949278534	572.423	708.714	sc
200	Spectrogram 1	1	248.915775974	249.222085087	143.106	783.674	un
201	Spectrogram 1	1	249.159866048	249.782056433	654.197	810.932	un
203	Spectrogram 1	1	249.821701985	250.386459411	163.549	429.317	un
204	Spectrogram 1	1	250.664052044	251.090013153	102.218	408.873	un
205	Spectrogram 1	1	251.334103227	251.669128819	149.920	817.747	un
206	Spectrogram 1	1	254.394387682	255.246309901	524.721	770.045	sc
