git pullSelection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
37	Spectrogram 1	1	132.451349715	133.090248177	185.121	335.961	0.6389	150.840	-35.87	
38	Spectrogram 1	1	136.210305717	136.793378101	185.121	349.674	0.5831	164.552	-40.70	
39	Spectrogram 1	1	139.450634290	140.139155934	82.276	239.972	0.6885	157.696	-36.93	
40	Spectrogram 1	1	142.356280156	143.075816288	178.265	363.386	0.7195	185.121	-38.98	
41	Spectrogram 1	1	146.136534596	146.694795388	191.978	418.237	0.5583	226.259	-41.47	
42	Spectrogram 1	1	149.740143862	150.465882892	102.845	267.397	0.7257	164.552	-46.53	
43	Spectrogram 1	1	152.388232589	152.834841223	246.828	335.961	0.4466	89.132	-36.96	
44	Spectrogram 1	1	156.094052257	156.732950720	198.834	349.674	0.6389	150.840	-40.73	
45	Spectrogram 1	1	161.204691369	161.862198524	185.121	356.530	0.6575	171.409	-37.69	
46	Spectrogram 1	1	165.000590463	165.720126596	219.403	349.674	0.7195	130.271	-38.64	
47	Spectrogram 1	1	170.945382430	171.578077995	198.834	363.386	0.6327	164.552	-38.73	
48	Spectrogram 1	1	174.253942878	174.880435545	205.690	356.530	0.6265	150.840	-41.93	
49	Spectrogram 1	1	178.862147276	179.470031250	185.121	342.817	0.6079	157.696	-37.55	
50	Spectrogram 1	1	182.632960486	183.104380710	233.116	390.812	0.4714	157.696	-44.69	
51	Spectrogram 1	1	187.265976475	188.041338686	212.547	342.817	0.7754	130.271	-41.58	
52	Spectrogram 1	1	191.043266876	191.508484203	239.972	390.812	0.4652	150.840	-42.04	
53	Spectrogram 1	1	199.964900622	200.547973006	205.690	390.812	0.5831	185.121	-41.08	
54	Spectrogram 1	1	201.837900380	202.476798843	116.558	315.392	0.6389	198.834	-42.44	
55	Spectrogram 1	1	203.965494289	204.498943491	198.834	363.386	0.5334	164.552	-37.70	
56	Spectrogram 1	1	207.618452443	208.244945110	116.558	397.668	0.6265	281.110	-45.12	
57	Spectrogram 1	1	209.473118853	209.882510101	102.845	253.685	0.4094	150.840	-42.53	
58	Spectrogram 1	1	212.055940270	212.459128621	212.547	397.668	0.4032	185.121	-46.13	
59	Spectrogram 1	1	215.426803463	215.798977325	219.403	459.375	0.3722	239.972	-42.47	
60	Spectrogram 1	1	217.976194415	218.491034924	116.558	301.679	0.5148	185.121	-42.76	
61	Spectrogram 1	1	220.385608465	220.919057667	226.259	425.093	0.5334	198.834	-42.95	
62	Spectrogram 1	1	269.181010063	269.987386763	219.403	397.668	0.8064	178.265	-42.84	un 
63	Spectrogram 1	1	271.875483638	273.165686359	418.237	569.076	1.2902	150.840	-47.29	
64	Spectrogram 1	1	279.724290903	280.989682033	431.950	603.358	1.2654	171.409	-47.84	
65	Spectrogram 1	1	283.135610341	283.830334883	390.812	589.646	0.6947	198.834	-49.55	
66	Spectrogram 1	1	290.661865875	291.213923769	438.806	603.358	0.5521	164.552	-47.13	
67	Spectrogram 1	1	300.914159112	302.241579218	397.668	562.220	1.3274	164.552	-43.74	
68	Spectrogram 1	1	304.256972381	305.119175160	377.099	548.507	0.8622	171.409	-47.38	
69	Spectrogram 1	1	311.758691669	312.893821947	390.812	541.651	1.1351	150.840	-46.77	
70	Spectrogram 1	1	315.008187178	315.758737799	377.099	527.938	0.7506	150.840	-48.54	
71	Spectrogram 1	1	322.233740109	323.492928341	349.674	521.082	1.2592	171.409	-45.82	
72	Spectrogram 1	1	325.549051517	326.237573161	349.674	507.369	0.6885	157.696	-51.03	
73	Spectrogram 1	1	332.352533110	333.785402478	322.248	507.369	1.4329	185.121	-47.21	
74	Spectrogram 1	1	336.095570165	336.759280218	322.248	514.226	0.6637	191.978	-49.67	
75	Spectrogram 1	1	343.342695828	344.676318832	301.679	500.513	1.3336	198.834	-45.83	
76	Spectrogram 1	1	346.964913787	347.975986111	260.541	479.944	1.0111	219.403	-46.98	
77	Spectrogram 1	1	352.267842727	352.683436872	1199.860	1446.688	0.4156	246.828	-51.51	un !!! What ?
78	Spectrogram 1	1	350.990045802	351.653755855	301.679	459.375	0.6637	157.696	-48.54	
79	Spectrogram 1	1	354.553198823	355.737952283	274.254	452.519	1.1848	178.265	-45.27	
80	Spectrogram 1	1	358.671374304	359.279258278	253.685	431.950	0.6079	178.265	-47.93	
81	Spectrogram 1	1	360.017403103	360.488823328	1254.711	1439.832	0.4714	185.121	-52.18	un
82	Spectrogram 1	1	365.326534941	366.387230447	246.828	452.519	1.0607	205.690	-45.30	
83	Spectrogram 1	1	365.636679826	366.188737720	1193.004	1439.832	0.5521	246.828	-52.83	un
84	Spectrogram 1	1	369.184188718	369.761058204	287.966	418.237	0.5769	130.271	-44.17	
85	Spectrogram 1	1	373.153220360	373.674263766	260.541	459.375	0.5210	198.834	-48.29	
86	Spectrogram 1	1	376.273277900	376.868756079	294.823	459.375	0.5955	164.552	-47.77	
87	Spectrogram 1	1	377.073451703	377.371190792	281.110	383.955	0.2977	102.845	-44.22	
88	Spectrogram 1	1	379.935677284	380.723445291	239.972	459.375	0.7878	219.403	-46.61	
89	Spectrogram 1	1	383.694084698	384.239939696	281.110	425.093	0.5459	143.983	-47.07	
90	Spectrogram 1	1	386.695738594	387.433883420	253.685	425.093	0.7381	171.409	-48.49	
91	Spectrogram 1	1	392.008108765	392.802079670	884.468	1028.451	0.7940	143.983	-53.93	un
92	Spectrogram 1	1	399.971806390	401.020096101	939.319	1138.153	1.0483	198.834	-54.94	un
93	Spectrogram 1	1	412.494085364	413.101969338	205.690	390.812	0.6079	185.121	-45.88	
94	Spectrogram 1	1	416.388956527	416.761130389	246.828	418.237	0.3722	171.409	-44.40	
95	Spectrogram 1	1	420.894949998	421.775761470	589.646	767.910	0.8808	178.265	-50.50	
96	Spectrogram 1	1	422.507703398	423.103181577	219.403	404.524	0.5955	185.121	-47.03	
97	Spectrogram 1	1	431.540715009	432.539381538	493.657	733.629	0.9987	239.972	-47.98	
98	Spectrogram 1	1	435.032946411	435.950975269	500.513	665.065	0.9180	164.552	-45.83	
99	Spectrogram 1	1	441.976130087	442.670854628	212.547	425.093	0.6947	212.547	-46.12	
100	Spectrogram 1	1	443.889312321	444.385544137	418.237	562.220	0.4962	143.983	-49.54	
101	Spectrogram 1	1	445.812210606	446.370471399	233.116	425.093	0.5583	191.978	-44.52	
102	Spectrogram 1	1	451.269937694	451.933647748	205.690	438.806	0.6637	233.116	-46.67	
103	Spectrogram 1	1	454.783467534	455.279699350	431.950	521.082	0.4962	89.132	-44.85	
104	Spectrogram 1	1	456.309380367	456.849032466	349.674	479.944	0.5397	130.271	-47.99	
105	Spectrogram 1	1	466.322724633	466.955420198	349.674	486.800	0.6327	137.127	-41.35	
106	Spectrogram 1	1	478.174816361	478.950178573	315.392	473.088	0.7754	157.696	-44.88	
107	Spectrogram 1	1	489.626958072	490.842726020	308.535	404.524	1.2158	95.989	-45.39	
108	Spectrogram 1	1	500.942910329	501.327489986	294.823	452.519	0.3846	157.696	-45.98	
109	Spectrogram 1	1	504.800289812	505.060811515	239.972	390.812	0.2605	150.840	-46.54	
110	Spectrogram 1	1	512.252385919	512.866472790	287.966	473.088	0.6141	185.121	-47.81	
111	Spectrogram 1	1	516.153459980	517.003256964	260.541	397.668	0.8498	137.127	-43.86	
112	Spectrogram 1	1	520.386525952	520.696670837	267.397	507.369	0.3101	239.972	-45.52	un
113	Spectrogram 1	1	523.810251185	524.777903225	260.541	411.381	0.9677	150.840	-44.41	
114	Spectrogram 1	1	527.698919451	528.375035299	260.541	500.513	0.6761	239.972	-48.37	
115	Spectrogram 1	1	534.865407444	535.876479768	253.685	452.519	1.0111	198.834	-47.72	
116	Spectrogram 1	1	538.574191676	539.634887182	226.259	445.662	1.0607	219.403	-46.23	
117	Spectrogram 1	1	545.998237334	547.201599486	205.690	445.662	1.2034	239.972	-48.95	
118	Spectrogram 1	1	549.766085979	550.801969893	226.259	418.237	1.0359	191.978	-45.41	
119	Spectrogram 1	1	557.664516425	558.477096023	246.828	418.237	0.8126	171.409	-48.32	
120	Spectrogram 1	1	561.593640410	562.313176543	198.834	418.237	0.7195	219.403	-46.52	
121	Spectrogram 1	1	565.023293721	565.749032751	219.403	349.674	0.7257	130.271	-43.23	
122	Spectrogram 1	1	568.728839621	569.262288822	260.541	397.668	0.5334	137.127	-46.87	
123	Spectrogram 1	1	572.673882554	573.461650561	212.547	383.955	0.7878	171.409	-43.80	
124	Spectrogram 1	1	576.615138566	577.433921062	260.541	377.099	0.8188	116.558	-47.55	
125	Spectrogram 1	1	579.489769943	580.414001700	212.547	404.524	0.9242	191.978	-46.94	
126	Spectrogram 1	1	583.394082337	584.380343071	191.978	383.955	0.9863	191.978	-46.94	
127	Spectrogram 1	1	587.391438197	587.993119273	226.259	370.243	0.6017	143.983	-42.18	
128	Spectrogram 1	1	591.351576671	591.760967918	246.828	383.955	0.4094	137.127	-47.08	
129	Spectrogram 1	1	595.345694197	595.990795557	198.834	363.386	0.6451	164.552	-47.53	
130	Spectrogram 1	1	610.277387746	610.885271720	205.690	342.817	0.6079	137.127	-46.71	
131	Spectrogram 1	1	619.934202279	620.387013811	185.121	370.243	0.4528	185.121	-47.15	
132	Spectrogram 1	1	622.709312999	622.851979646	239.972	404.524	0.1427	164.552	-41.83	
133	Spectrogram 1	1	660.511587841	662.039916650	281.110	431.950	1.5283	150.840	-51.34	un
134	Spectrogram 1	1	665.128959701	665.265423451	253.685	500.513	0.1365	246.828	-34.65	un
135	Spectrogram 1	1	685.688822090	686.228474189	164.552	390.812	0.5397	226.259	-49.30	un
136	Spectrogram 1	1	689.416489310	689.683213910	178.265	287.966	0.2667	109.701	-45.52	
137	Spectrogram 1	1	704.065814129	704.313930037	130.271	260.541	0.2481	130.271	-46.07	
138	Spectrogram 1	1	714.364765984	714.749345641	185.121	431.950	0.3846	246.828	-49.62	
139	Spectrogram 1	1	724.656692058	725.146720975	157.696	370.243	0.4900	212.547	-49.78	
140	Spectrogram 1	1	731.711802712	732.059164983	246.828	390.812	0.3474	143.983	-49.72	
141	Spectrogram 1	1	737.585398240	738.211890907	171.409	370.243	0.6265	198.834	-46.01	
142	Spectrogram 1	1	747.893517031	748.637864754	205.690	363.386	0.7443	157.696	-48.21	
143	Spectrogram 1	1	751.720156320	752.216388135	219.403	397.668	0.4962	178.265	-47.76	
144	Spectrogram 1	1	752.954532961	753.587228526	473.088	603.358	0.6327	130.271	-49.86	
145	Spectrogram 1	1	756.644982680	757.277678245	397.668	527.938	0.6327	130.271	-45.90	
146	Spectrogram 1	1	757.605883234	758.040086073	185.121	322.248	0.4342	137.127	-42.80	
147	Spectrogram 1	1	760.341361118	760.595679923	356.530	521.082	0.2543	164.552	-47.90	
148	Spectrogram 1	1	763.467072967	765.017797390	404.524	541.651	1.5507	137.127	-44.00	
149	Spectrogram 1	1	767.303153487	767.793182404	363.386	527.938	0.4900	164.552	-43.43	
150	Spectrogram 1	1	768.134341778	768.556138821	370.243	521.082	0.4218	150.840	-45.88	
151	Spectrogram 1	1	770.897320996	771.201262983	356.530	527.938	0.3039	171.409	-45.99	
152	Spectrogram 1	1	771.523813663	771.989030990	178.265	383.955	0.4652	205.690	-47.11	
153	Spectrogram 1	1	774.739604939	775.490155560	390.812	555.364	0.7506	164.552	-46.25	
154	Spectrogram 1	1	777.322700125	777.558410237	342.817	514.226	0.2357	171.409	-42.53	
155	Spectrogram 1	1	778.166294211	778.923047730	377.099	527.938	0.7568	150.840	-40.63	
156	Spectrogram 1	1	780.386657291	781.025555754	185.121	370.243	0.6389	185.121	-44.71	
157	Spectrogram 1	1	784.765354475	786.272658615	397.668	521.082	1.5073	123.414	-41.41	
158	Spectrogram 1	1	787.379464149	787.857087271	198.834	308.535	0.4776	109.701	-44.48	
159	Spectrogram 1	1	788.340913292	789.066652322	390.812	514.226	0.7257	123.414	-40.08	
160	Spectrogram 1	1	791.637341712	792.288645970	178.265	301.679	0.6513	123.414	-45.79	
161	Spectrogram 1	1	795.538415773	796.549488097	383.955	527.938	1.0111	143.983	-43.30	
162	Spectrogram 1	1	797.064328606	797.417893774	233.116	363.386	0.3536	130.271	-43.46	
163	Spectrogram 1	1	799.054910177	799.985344831	363.386	493.657	0.9304	130.271	-38.48	
164	Spectrogram 1	1	800.984011360	801.610504027	198.834	431.950	0.6265	233.116	-46.01	
165	Spectrogram 1	1	805.772099792	806.423404049	164.552	287.966	0.6513	123.414	-41.97	
166	Spectrogram 1	1	805.877549052	807.192563363	377.099	521.082	1.3150	143.983	-45.56	
167	Spectrogram 1	1	808.919658667	809.440702073	185.121	356.530	0.5210	171.409	-42.85	
168	Spectrogram 1	1	809.558557130	810.079600536	130.271	260.541	0.5210	130.271	-41.56	
169	Spectrogram 1	1	809.744644060	810.395948318	301.679	486.800	0.6513	185.121	-42.46	
170	Spectrogram 1	1	813.019225455	813.484442782	335.961	479.944	0.4652	143.983	-44.29	
171	Spectrogram 1	1	816.297045182	817.370146483	315.392	500.513	1.0731	185.121	-44.54	
172	Spectrogram 1	1	818.486393774	819.125292236	116.558	274.254	0.6389	157.696	-40.55	
173	Spectrogram 1	1	819.959170272	820.387170213	274.254	452.519	0.4280	178.265	-44.32	
174	Spectrogram 1	1	820.722126688	821.044677368	274.254	411.381	0.3226	137.127	-44.25	
175	Spectrogram 1	1	821.317604867	821.708387421	212.547	329.104	0.3908	116.558	-42.88	
176	Spectrogram 1	1	823.311699065	823.820336676	315.392	500.513	0.5086	185.121	-47.55	
177	Spectrogram 1	1	826.499714186	826.933917025	274.254	418.237	0.4342	143.983	-44.99	
178	Spectrogram 1	1	825.662322997	826.195772199	164.552	342.817	0.5334	178.265	-44.26	
179	Spectrogram 1	1	829.377310128	830.208498419	116.558	322.248	0.8312	205.690	-44.97	
180	Spectrogram 1	1	830.313947679	831.256788129	329.104	452.519	0.9428	123.414	-43.86	
181	Spectrogram 1	1	832.819369759	833.421050836	143.983	301.679	0.6017	157.696	-42.61	
182	Spectrogram 1	1	833.582326176	834.202615945	246.828	418.237	0.6203	171.409	-45.39	
183	Spectrogram 1	1	834.990383952	835.461804177	253.685	431.950	0.4714	178.265	-45.33	
184	Spectrogram 1	1	837.545429214	837.992037848	267.397	431.950	0.4466	164.552	-45.81	
185	Spectrogram 1	1	839.083747842	839.449718806	287.966	418.237	0.3660	130.271	-46.03	
186	Spectrogram 1	1	841.645270296	842.420632507	274.254	445.662	0.7754	171.409	-45.46	
187	Spectrogram 1	1	843.331909880	844.541474930	178.265	418.237	1.2096	239.972	-43.56	
188	Spectrogram 1	1	844.646924191	845.478112482	219.403	431.950	0.8312	212.547	-46.22	
189	Spectrogram 1	1	846.960605031	847.320373097	253.685	418.237	0.3598	164.552	-42.15	
190	Spectrogram 1	1	847.980569998	848.284511985	205.690	315.392	0.3039	109.701	-39.17	
191	Spectrogram 1	1	851.661578075	852.263259151	253.685	397.668	0.6017	143.983	-41.88	
192	Spectrogram 1	1	854.467977577	855.330180357	157.696	308.535	0.8622	150.840	-44.22	
193	Spectrogram 1	1	855.392209334	855.814006377	274.254	411.381	0.4218	137.127	-45.11	
194	Spectrogram 1	1	856.989043786	857.379826341	233.116	363.386	0.3908	130.271	-48.16	
195	Spectrogram 1	1	858.663826163	859.091826104	171.409	329.104	0.4280	157.696	-43.58	
196	Spectrogram 1	1	859.234492751	859.501217352	274.254	445.662	0.2667	171.409	-43.37	
197	Spectrogram 1	1	862.388254524	862.946515317	239.972	390.812	0.5583	150.840	-46.69	
198	Spectrogram 1	1	864.865900449	865.752914819	164.552	404.524	0.8870	239.972	-46.39	
199	Spectrogram 1	1	866.069262602	866.069262602	754.198	754.198	0.0000	0.000	-58.15	
200	Spectrogram 1	1	868.915844055	869.294220814	205.690	301.679	0.3784	95.989	-40.48	
201	Spectrogram 1	1	872.475758743	873.251120955	274.254	479.944	0.7754	205.690	-45.57	
202	Spectrogram 1	1	875.837729293	876.606888607	137.127	335.961	0.7692	198.834	-45.40	
203	Spectrogram 1	1	879.862861308	880.365296021	226.259	397.668	0.5024	171.409	-45.50	
204	Spectrogram 1	1	883.646080313	883.950022300	308.535	486.800	0.3039	178.265	-46.52	
205	Spectrogram 1	1	884.061674459	884.886659852	233.116	383.955	0.8250	150.840	-46.02	
206	Spectrogram 1	1	884.926566983	885.218103174	274.254	411.381	0.2915	137.127	-43.42	
207	Spectrogram 1	1	885.900421921	886.353233453	164.552	301.679	0.4528	137.127	-43.76	
208	Spectrogram 1	1	889.516162688	890.006191606	219.403	363.386	0.4900	143.983	-45.64	
209	Spectrogram 1	1	890.502423421	891.011061032	191.978	349.674	0.5086	157.696	-46.34	
210	Spectrogram 1	1	893.972532977	894.468764793	239.972	425.093	0.4962	185.121	-42.62	
211	Spectrogram 1	1	897.039454183	897.833425088	130.271	349.674	0.7940	219.403	-42.12	
212	Spectrogram 1	1	901.080230326	901.595070835	178.265	356.530	0.5148	178.265	-45.14	
213	Spectrogram 1	1	904.693006529	905.437354252	239.972	383.955	0.7443	143.983	-42.24	
214	Spectrogram 1	1	907.496167698	908.141269058	164.552	335.961	0.6451	171.409	-42.23	
215	Spectrogram 1	1	911.198749033	911.887270677	150.840	329.104	0.6885	178.265	-47.23	
216	Spectrogram 1	1	914.879757111	915.760568583	226.259	418.237	0.8808	191.978	-45.11	
217	Spectrogram 1	1	917.708278459	918.409205899	157.696	308.535	0.7009	150.840	-42.75	
218	Spectrogram 1	1	925.132050348	926.050079207	253.685	397.668	0.9180	143.983	-44.60	
219	Spectrogram 1	1	927.938449850	928.397464280	116.558	308.535	0.4590	191.978	-41.88	
220	Spectrogram 1	1	934.692856851	935.679117584	226.259	438.806	0.9863	212.547	-47.00	
221	Spectrogram 1	1	932.205494875	932.819581747	130.271	315.392	0.6141	185.121	-46.27	
222	Spectrogram 1	1	937.365757169	938.054278813	178.265	315.392	0.6885	137.127	-42.06	
223	Spectrogram 1	1	941.198599355	941.639005091	157.696	335.961	0.4404	178.265	-44.48	
224	Spectrogram 1	1	943.878251159	944.591584394	205.690	438.806	0.7133	233.116	-49.73	
225	Spectrogram 1	1	946.519862694	947.171166952	143.983	322.248	0.6513	178.265	-42.03	
226	Spectrogram 1	1	950.588963581	951.128615681	164.552	315.392	0.5397	150.840	-45.36	
227	Spectrogram 1	1	953.596820375	954.173689860	212.547	404.524	0.5769	191.978	-43.99	
228	Spectrogram 1	1	956.232777601	957.020545608	171.409	322.248	0.7878	150.840	-44.14	
229	Spectrogram 1	1	959.798895186	960.412982058	130.271	308.535	0.6141	178.265	-43.53	
230	Spectrogram 1	1	962.450222246	963.070512016	219.403	390.812	0.6203	171.409	-42.75	
231	Spectrogram 1	1	964.981004506	965.595091377	157.696	329.104	0.6141	171.409	-42.33	
232	Spectrogram 1	1	968.851064078	969.347295894	191.978	322.248	0.4962	130.271	-40.64	
233	Spectrogram 1	1	971.744304148	972.463840281	233.116	370.243	0.7195	137.127	-41.35	
234	Spectrogram 1	1	974.442290351	974.950927962	164.552	322.248	0.5086	157.696	-40.54	
235	Spectrogram 1	1	977.732515874	978.340399848	116.558	335.961	0.6079	219.403	-38.68	
236	Spectrogram 1	1	981.146525582	981.624148704	171.409	404.524	0.4776	233.116	-41.99	
237	Spectrogram 1	1	983.323742672	983.925423749	198.834	356.530	0.6017	157.696	-42.96	
238	Spectrogram 1	1	988.120998566	988.654447768	150.840	322.248	0.5334	171.409	-40.42	
239	Spectrogram 1	1	992.443869671	993.113782621	150.840	335.961	0.6699	185.121	-42.70	
240	Spectrogram 1	1	996.611668333	997.014856683	171.409	342.817	0.4032	171.409	-43.50	
241	Spectrogram 1	1	1001.688328391	1002.339632649	185.121	370.243	0.6513	185.121	-46.93	
242	Spectrogram 1	1	999.281604086	999.715806924	89.132	260.541	0.4342	171.409	-40.68	
243	Spectrogram 1	1	1003.883605586	1004.305402630	431.950	603.358	0.4218	171.409	-48.03	
244	Spectrogram 1	1	1006.048416882	1006.507431311	164.552	356.530	0.4590	191.978	-45.40	
245	Spectrogram 1	1	1007.322700654	1007.620439743	713.060	953.032	0.2977	239.972	-46.06	
246	Spectrogram 1	1	1010.182236491	1010.591627738	185.121	329.104	0.4094	143.983	-43.12	
247	Spectrogram 1	1	1015.856790178	1016.210355347	123.414	246.828	0.3536	123.414	-42.83	
248	Spectrogram 1	1	1026.729372659	1027.002300158	713.060	850.187	0.2729	137.127	-49.00	
249	Spectrogram 1	1	1032.605657932	1033.201136110	644.496	850.187	0.5955	205.690	-47.13	
250	Spectrogram 1	1	1043.909204918	1044.442654120	829.618	1117.584	0.5334	287.966	-48.90	
251	Spectrogram 1	1	1046.746618909	1047.286271009	699.347	863.899	0.5397	164.552	-50.95	
252	Spectrogram 1	1	1052.883974473	1053.287162823	857.043	1049.021	0.4032	191.978	-48.98	
253	Spectrogram 1	1	1053.807657641	1054.198440196	980.457	1172.435	0.3908	191.978	-50.67	
254	Spectrogram 1	1	1055.730555927	1056.071715300	774.767	891.325	0.3412	116.558	-49.90	
255	Spectrogram 1	1	1057.361918020	1057.963599096	335.961	534.795	0.6017	198.834	-42.80	
256	Spectrogram 1	1	1059.312317115	1061.055331367	363.386	521.082	1.7430	157.696	-39.62	
257	Spectrogram 1	1	1062.881399265	1063.402442672	329.104	617.071	0.5210	287.966	-38.01	
258	Spectrogram 1	1	1065.871195954	1066.268181406	377.099	521.082	0.3970	143.983	-40.51	
259	Spectrogram 1	1	1066.574813138	1067.759566598	253.685	438.806	1.1848	185.121	-38.64	
260	Spectrogram 1	1	1068.863408093	1070.891755639	205.690	390.812	2.0283	185.121	-35.43	
261	Spectrogram 1	1	1072.271762440	1073.245617378	233.116	425.093	0.9739	191.978	-34.98	
262	Spectrogram 1	1	1076.116736128	1077.400735951	164.552	377.099	1.2840	212.547	-34.94	
263	Spectrogram 1	1	1079.515924064	1080.582822468	130.271	329.104	1.0669	198.834	-29.94	
264	Spectrogram 1	1	1083.330157032	1083.776765666	191.978	411.381	0.4466	219.403	-35.48	
265	Spectrogram 1	1	1085.798361726	1087.138187628	143.983	349.674	1.3398	205.690	-33.17	
266	Spectrogram 1	1	1088.815659750	1090.093456675	226.259	377.099	1.2778	150.840	-30.42	
267	Spectrogram 1	1	1092.670348963	1093.675218389	198.834	418.237	1.0049	219.403	-34.17	
268	Spectrogram 1	1	1095.644226703	1097.232168512	143.983	363.386	1.5879	219.403	-29.96	
269	Spectrogram 1	1	1099.139147849	1100.224654946	185.121	356.530	1.0855	171.409	-27.81	
270	Spectrogram 1	1	1103.539692059	1104.296445578	198.834	425.093	0.7568	226.259	-32.74	
271	Spectrogram 1	1	1105.942903211	1106.414323436	157.696	308.535	0.4714	150.840	-37.87	
272	Spectrogram 1	1	1106.687250935	1106.960178433	137.127	294.823	0.2729	157.696	-32.95	
273	Spectrogram 1	1	1108.597743424	1109.615018646	157.696	349.674	1.0173	191.978	-30.18	
274	Spectrogram 1	1	1113.196506592	1113.686535510	198.834	377.099	0.4900	178.265	-34.47	
275	Spectrogram 1	1	1115.177920701	1115.841630754	137.127	329.104	0.6637	191.978	-37.21	
276	Spectrogram 1	1	1115.928471322	1116.461920524	82.276	253.685	0.5334	171.409	-32.66	
277	Spectrogram 1	1	1118.223543469	1118.961688294	171.409	390.812	0.7381	219.403	-35.90	
278	Spectrogram 1	1	1121.972509127	1122.611407589	130.271	377.099	0.6389	246.828	-31.21	
